time_s,x_m,z_m,vx_mps,vz_mps,theta_deg,omega_deg_s,mass_kg,prop_remaining_kg,target_x_m,target_error_m,commanded_throttle,commanded_gimbal_deg,throttle,gimbal_deg,desired_theta_deg,desired_ax_mps2,desired_az_mps2,thrust_scale,navigation_rejection_count,estimated_x_m,estimated_z_m,estimated_vx_mps,estimated_vz_mps,estimated_theta_deg,estimated_omega_deg_s,x_estimation_error_m,z_estimation_error_m,vx_estimation_error_mps,vz_estimation_error_mps,theta_estimation_error_deg,ekf_nees,ekf_nis_gps,ekf_nis_radar,ekf_nis_attitude,ekf_estimated_bax_mps2,ekf_estimated_baz_mps2,ekf_estimated_bg_radps,ekf_true_bax_mps2,ekf_true_baz_mps2,ekf_true_bg_radps,ekf_sigma_x,ekf_x_inside_3sigma,ekf_sigma_z,ekf_z_inside_3sigma,ekf_sigma_vx,ekf_vx_inside_3sigma,ekf_sigma_vz,ekf_vz_inside_3sigma,ekf_sigma_theta,ekf_theta_inside_3sigma,ekf_sigma_bax,ekf_bax_inside_3sigma,ekf_sigma_baz,ekf_baz_inside_3sigma,ekf_sigma_bg,ekf_bg_inside_3sigma,optimizer_horizon_s,optimizer_predicted_terminal_x_error_m,optimizer_predicted_terminal_z_m,optimizer_predicted_terminal_vx_mps,optimizer_predicted_terminal_vz_mps,optimizer_minimum_tilt_margin_deg,optimizer_minimum_thrust_margin_mps2,optimizer_minimum_glideslope_margin_m,optimizer_tilt_constraint_active,optimizer_thrust_constraint_active,optimizer_glideslope_constraint_active,optimizer_converged,optimizer_solution_accepted,optimizer_fallback,optimizer_iterations,optimizer_primal_residual,optimizer_dual_residual,optimizer_max_constraint_violation,optimizer_objective,optimizer_replanned,optimizer_terminal_handoff
0.0,48.0,720.0,-2.5,-58.0,1.0,0.0,25000.0,7000.0,0.0,48.0,0.3992992272676136,-0.5167881869758628,0.0,0.0,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,48.9833311687069,719.974500946595,-2.6130082181129812,-58.03192686973455,1.0137494579513036,-0.0821658058798229,0.9833311687068971,-0.025499053405042105,-0.11300821811298123,-0.031926869734547836,0.013749457951314974,1.04914205589549,nan,0.3632272830645007,nan,0.0,0.0,0.0,-0.10443672085682888,0.05023556821465024,-0.0010530136606382782,1.5,1.0,0.3408444234096276,1.0,0.3,1.0,0.3,1.0,0.006,1.0,0.2,1.0,0.2,1.0,0.003,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,1.0,0.0
0.05,47.87505545723444,717.0880488871128,-2.4977788485991588,-58.47801135022078,1.0,0.0,25000.0,7000.0,0.0,47.87505545723444,0.39929214544167196,-0.5514616679824187,0.0,0.0,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,48.85267256824408,717.0609688152302,-2.6133358044081403,-58.509358384951746,0.9545957646380092,-0.041433677195660636,0.9776171110096428,-0.027080071882551238,-0.11555695580898151,-0.03134703473096323,-0.04540423536197949,1.3395865741171173,nan,0.3632272830645007,0.029231734815641418,0.0,0.0,1.2428333325336717e-05,-0.10418945710867022,0.0498754380579148,-0.0010631850834476283,1.500075018957461,1.0,0.3411744179586764,1.0,0.3003747665176874,1.0,0.300374765917869,1.0,0.0014552997798663835,1.0,0.20000112499683598,1.0,0.20000112499683598,1.0,0.002999172535545624,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.1,47.750222401227106,714.1522021944118,-2.4955405319858777,-58.955822934509676,1.0,0.0,25000.0,7000.0,0.0,47.750222401227106,0.3992942329986429,-0.8125006549730196,0.07394430134585436,-0.17226272899195424,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,48.72217059283785,713.7840829173904,-2.6067484597014867,-59.004050990717204,0.972407177600104,0.11083463181127805,0.9719481916107426,-0.36811927702137837,-0.11120792771560906,-0.04822805620752746,-0.027592822399884653,3.449775081311558,nan,2.017024860117786,0.042365150516278045,-1.0116544449421881e-05,0.0005802283148101594,-3.4069136483089196e-05,-0.10389071425802728,0.04987044306293192,-0.0010640481368341809,1.5003004074195059,1.0,0.2446699025296291,1.0,0.3010813882847892,1.0,0.30051610437521886,1.0,0.0010538378109026523,1.0,0.20000224986049456,1.0,0.20000183271250507,1.0,0.002990706122131126,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.15000000000000002,47.62555069146576,711.1952790499627,-2.4913257715497172,-59.321076277293,0.9998934360812779,-0.004258381852603788,24998.983941946204,6998.983941946204,0.0,47.62555069146576,0.39928464274249126,-1.3145226308442786,0.1341939021043391,-0.29866237532210904,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,48.591790173486125,710.8249482258077,-2.6085176394303886,-59.36133170826092,1.026994111035641,0.3968947302850439,0.966239482020363,-0.3703308241549621,-0.11719186788067137,-0.040255430967917505,0.027100674954370584,3.533366128647785,nan,2.017024860117786,0.8724189934640394,-1.011654335008801e-05,0.0005802282517585272,-0.0003798671141082713,-0.10354457331341356,0.049653265321178454,-0.0010587503056711674,1.5006770555463806,1.0,0.24607210937846621,1.0,0.30211757047674537,1.0,0.3015529463904771,1.0,0.0008863411740063537,1.0,0.20000337484467529,1.0,0.2000029576990322,1.0,0.00296775677071698,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.2,47.50112994760706,708.222386226003,-2.485502768130787,-59.594614660975836,0.9993458477236931,-0.017632040982245023,24997.140002757897,6997.140002757897,0.0,47.50112994760706,0.3992533000176234,-0.2305445494482057,0.18328655597365462,-0.4699418018724126,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,47.67598545507341,708.024346885422,-2.460141979707236,-59.53879538085211,1.0117405475618748,-0.25497716152435096,0.17485550746634715,-0.1980393405809764,0.02536078842355094,0.055819280123728277,0.01239469983818371,1.9335871729728598,3.7346356460287575,0.05596031380841014,0.007573871741114832,-0.012990210208002012,-0.00551941574504945,-0.00033661107366717767,-0.10311816246869773,0.04893837982844826,-0.0010718621978714825,0.670835625270567,1.0,0.1937793386597261,1.0,0.11158318640065322,1.0,0.11146767803857614,1.0,0.0008025527001114068,1.0,0.19849616298964184,1.0,0.1984922844006707,1.0,0.002925327443486957,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.25,47.37703301424504,705.2376850867013,-2.4783747844690462,-59.7934118911709,0.9977462495313041,-0.04632375749788154,24994.62148844428,6994.621488444282,0.0,47.37703301424504,0.39921633406325335,-0.39321601593062955,0.22328620167158733,-0.7514687448630346,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,47.55289601557729,705.0429066404927,-2.4632791766337414,-59.71881534124137,1.0378933090582905,-0.1651059811247175,0.17586300133224597,-0.19477844620860196,0.015095607835304836,0.07459654992953091,0.04014705952697506,2.859709400575836,3.7346356460287575,0.05596031380841014,1.8005450638725564,-0.012976949559033859,-0.00551933786809656,-0.0011553887806949254,-0.10349649550685351,0.04867747693706067,-0.0010850072775200619,0.670895429783961,1.0,0.19415972224237607,1.0,0.11306013181358203,1.0,0.11294841551713837,1.0,0.0007606556195238287,1.0,0.1984972962635725,1.0,0.19849341794274536,1.0,0.0028610366403160076,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.3,47.253318803621234,702.2445669241646,-2.470196595144319,-59.9312975457811,0.9940331578533353,-0.10214518257480251,24991.553344728254,6991.553344728254,0.0,47.253318803621234,0.39916433186819217,-0.419401281674823,0.2558727013652977,-0.5778273463914249,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,47.42977196042279,702.1359742035546,-2.4615935086164753,-59.849053050544875,1.0138655920787811,-0.14122688410476378,0.17645315680155704,-0.10859272060997682,0.008603086527843917,0.08224449523622468,0.019832434225452927,1.7011056213640372,3.7346356460287575,0.7578244457508554,0.4927767748797027,-0.012978410321546233,-0.005730190987772563,-0.0006679997777341614,-0.10395185289893098,0.04809709914558989,-0.0010743556362482506,0.6710026772416741,1.0,0.17014658870248378,1.0,0.11537535213393499,1.0,0.11510762578573731,1.0,0.0007416223387663814,1.0,0.19849842959208017,1.0,0.19849440374825567,1.0,0.0027755702071771567,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.35,47.13003435908614,699.2457954949701,-2.4611879301886295,-60.01954381468064,0.9877040051944892,-0.1509730531788208,24988.03743458728,6988.037434587281,0.0,47.13003435908614,0.3991060405921565,-0.4483569251227858,0.2824178185315858,-0.5162902362378264,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,47.30671810389124,699.1414950724713,-2.4603233219475484,-59.930111311078726,0.9963936516107725,-0.1178540291318138,0.17668374480510352,-0.10430042249879534,0.000864608241081033,0.08943250360191257,0.008689646416270583,1.6205746254631874,3.7346356460287575,0.7578244457508554,0.23994763500977376,-0.012981093105975514,-0.005730212080332911,-0.0003005737645041416,-0.10380004341955013,0.048215658953538146,-0.0010689299128571223,0.6711600669361434,1.0,0.17079109980154336,1.0,0.11847976613064803,1.0,0.1182197781439987,1.0,0.0007345572134811379,1.0,0.19849956302351546,1.0,0.19849553727823122,1.0,0.0026723546551138994,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.39999999999999997,47.00721653528186,696.2436231307867,-2.4515357642459095,-60.06733574715922,0.9789576932805116,-0.19883250221572435,24984.156771793365,6984.156771793365,0.0,47.00721653528186,0.39904134922955786,0.03428831138052296,0.30403754322355,-0.4839939180501587,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,47.19234525413272,696.1672128554377,-2.502147708676731,-60.0437079393798,0.973764947761799,-0.40282339239628245,0.18512871885085502,-0.07641027534896239,-0.05061194443082151,0.02362780777941964,-0.005192745518705083,1.1947365149117029,1.2626139262149834,0.6717270775552054,0.010045171586693533,0.013320043761516532,0.04041813069960338,-0.00021931642663013638,-0.10350874514176416,0.04744798781055078,-0.0010662427134310413,0.5001192253351793,1.0,0.15021776086016103,1.0,0.08564460341364531,1.0,0.08545447033416974,1.0,0.0007328683517917287,1.0,0.1914854285007307,1.0,0.19145872284999832,1.0,0.0025565596068304586,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
0.44999999999999996,46.88489354391152,693.2398853464324,-2.4413988836361624,-60.082161119226804,0.9678141979746807,-0.24686022387930587,24979.979035459037,6979.979035459037,0.0,46.88489354391152,0.3989762549789029,-0.4128616715541826,0.32164282051403265,-0.4839939180501587,-0.17236284509882466,-0.03651122491419301,2.330146538981353,1.0,0,47.06682604770869,693.1643488030098,-2.5185316793583996,-60.07085678529925,0.9874541723857059,-0.1363864776135208,0.18193250379717085,-0.07553654342257232,-0.07713279572223719,0.011304333927554922,0.019639974411012902,1.667320225236161,1.2626139262149834,0.6717270775552054,0.7611655868691242,0.01341760214712316,0.040419497112727104,-0.0009021279339817054,-0.10334232907726408,0.047361905051085076,-0.0010518079676392301,0.5002256981900536,1.0,0.15069590441256353,1.0,0.08939531769951095,1.0,0.08921932884458095,1.0,0.0007327861473738573,1.0,0.1914865708713715,1.0,0.19145989802801927,1.0,0.002433884520267249,1.0,25.137928847397077,5.2402834111120455e-05,0.00047207837303631095,-0.0002518736676813127,-0.7512958337696389,6.83928682528402,18.022612342549273,1.9999948050031926,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.00047207837303631095,0.1362861634186412,0.0,-30451841.767068423,0.0,0.0
