case_index,guidance_mode,wind_x_mps,wind_y_mps,initial_x_m,initial_y_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,initial_mass_kg,success,failure_mode,horizontal_target_error_m,touchdown_horizontal_speed_mps,touchdown_vertical_speed_mps,maximum_tilt_deg,propellant_remaining_kg,nmpc_acceptance_rate,nmpc_mean_solve_time_ms,nmpc_maximum_solve_time_ms
0,baseline,12.386594582409234,-9.571224540900024,24.035727934642054,-4.341328943458347,-1.1645423795587517,1.8564163123907398,-57.8156621348895,25000.0,0,footprint,3.7725301850626476,0.02859711188299445,1.1958870260216632,4.013992130241365,3150.5417640271517,0.0,0.0,0.0
0,nmpc,12.386594582409234,-9.571224540900024,24.035727934642054,-4.341328943458347,-1.1645423795587517,1.8564163123907398,-57.8156621348895,25000.0,0,footprint,3.0284747126545906,0.20208046634592206,1.1958502073727115,6.681642094325585,3836.839175357105,1.0,135.64792468857306,229.34991703368723
1,baseline,5.4611572099833126,-3.854927879742789,14.005535469062949,-15.82023519872498,-1.4947469080599771,1.8107366562504794,-58.5158885995417,24989.6831123183,1,success,0.99601018302782,0.018203744591070256,1.196420818521942,1.3929104556452865,3131.7638925108986,0.0,0.0,0.0
1,nmpc,5.4611572099833126,-3.854927879742789,14.005535469062949,-15.82023519872498,-1.4947469080599771,1.8107366562504794,-58.5158885995417,24989.6831123183,1,success,0.3905444013536601,0.06084010937265155,1.196502734625997,1.3929104556452865,3849.1025745519473,1.0,138.27351504936814,228.12012513168156
2,baseline,7.441991177478265,-7.243858684237164,19.57617373249829,-13.285413056176402,-3.3226451866195426,0.7330567881333826,-54.08803153071244,25000.0,1,success,1.8901656660485513,0.014270073846697836,1.1963005625949863,4.015858264416272,3174.287228291061,0.0,0.0,0.0
2,nmpc,7.441991177478265,-7.243858684237164,19.57617373249829,-13.285413056176402,-3.3226451866195426,0.7330567881333826,-54.08803153071244,25000.0,1,success,1.4360626535590717,0.10075644165429458,1.196321509569278,3.6679894469174434,3772.1379204560326,1.0,147.7926651412552,237.0203749742359
3,baseline,3.4339294653538888,-3.1065218766811,26.24371967991967,-14.103558497624448,-2.966004854674981,1.3000553703521924,-54.55473342868022,25000.0,1,success,0.41851835416350797,0.013527624160941202,1.196508559411097,2.277772475940451,3170.398150119454,0.0,0.0,0.0
3,nmpc,3.4339294653538888,-3.1065218766811,26.24371967991967,-14.103558497624448,-2.966004854674981,1.3000553703521924,-54.55473342868022,25000.0,1,success,0.8137212132637103,0.05038791309132557,1.1965115555420671,3.2018499355937036,3752.3239001158727,1.0,148.28774225208218,241.64041713811457
4,baseline,12.119455290124204,2.50882867380325,19.96063331294276,-13.171136002416464,-2.947050958319764,0.40176939432396375,-60.50947229146953,24998.749218676312,1,success,2.563712837900736,0.0327972829844372,1.1961709869718393,2.9362818565293076,3128.595685611941,0.0,0.0,0.0
4,nmpc,12.119455290124204,2.50882867380325,19.96063331294276,-13.171136002416464,-2.947050958319764,0.40176939432396375,-60.50947229146953,24998.749218676312,1,success,1.9383353779056194,0.14707516679630112,1.1961307103311811,5.149927867712895,3884.4461367258846,1.0,136.85146141797304,253.55162494815886
5,baseline,4.171354423375451,-1.8311593757653308,16.804532147222822,-4.501056769795893,-3.8106832308848153,0.8504542792498204,-58.869535357035936,24944.461237939526,1,success,0.4616620838401671,0.007873839740586022,1.1964205262904044,4.959231288398923,3089.864156451862,0.0,0.0,0.0
5,nmpc,4.171354423375451,-1.8311593757653308,16.804532147222822,-4.501056769795893,-3.8106832308848153,0.8504542792498204,-58.869535357035936,24944.461237939526,1,success,0.9121277598293681,0.035969735800023814,1.1965141559919645,2.9185000511496493,3817.976841188909,1.0,138.97640333510935,229.94058416225016
6,baseline,7.958203519627034,-3.4130499235658425,28.06287451468112,-9.660879402566676,-3.0010191972367477,0.5443376118822649,-57.424121937279565,25000.0,1,success,1.4576151103097938,0.01421649905369341,1.1963265566094266,1.3928395148587203,3145.249162903401,0.0,0.0,0.0
6,nmpc,7.958203519627034,-3.4130499235658425,28.06287451468112,-9.660879402566676,-3.0010191972367477,0.5443376118822649,-57.424121937279565,25000.0,1,success,1.3195631981312537,0.08374665371473938,1.1963352607172413,4.5308771472879865,3710.9087191815997,0.9642857142857143,148.62218904142668,231.7600001115352
7,baseline,8.702765197530589,-3.5182766931686635,14.241244737022416,-9.084540314814642,-1.5867826100652258,2.3764583160444426,-60.55802826677136,24917.986542211653,1,success,1.6199084973786009,0.013935410519105143,1.196287647414791,3.2989043726246003,3062.9305232552324,0.0,0.0,0.0
7,nmpc,8.702765197530589,-3.5182766931686635,14.241244737022416,-9.084540314814642,-1.5867826100652258,2.3764583160444426,-60.55802826677136,24917.986542211653,1,success,1.1633754111310968,0.09559477782631788,1.1962206495736023,1.4261452694478773,3821.1001093780505,1.0,134.2171500902623,216.5630420204252
8,baseline,11.129877510607454,-3.7271558572511694,18.625311064029408,-18.79691577409037,-2.923162491941724,1.0609088070955193,-59.26690372189692,24892.100603759238,1,success,2.332622291669131,0.02404799809989206,1.1961452925573246,2.302994105960782,3047.8242803026114,0.0,0.0,0.0
8,nmpc,11.129877510607454,-3.7271558572511694,18.625311064029408,-18.79691577409037,-2.923162491941724,1.0609088070955193,-59.26690372189692,24892.100603759238,1,success,1.8409894187627995,0.135544373051618,1.1960771068455183,3.683146789745789,3765.7179919615955,1.0,139.2130616493523,240.95000000670552
9,baseline,1.929595723546661,-6.470936286152202,14.597385621113283,-19.232754475711634,-2.8938373196862894,1.2209194255557814,-56.548040556807806,25000.0,1,success,1.0103383408673552,0.018245839233414232,1.1963278348127595,3.604111721806547,3147.6803841103974,0.0,0.0,0.0
9,nmpc,1.929595723546661,-6.470936286152202,14.597385621113283,-19.232754475711634,-2.8938373196862894,1.2209194255557814,-56.548040556807806,25000.0,1,success,0.756897227352019,0.081399286627871,1.1964292066774163,3.4424957819152167,3822.508058080297,1.0,149.29545987755634,249.85429202206433
10,baseline,15.984479221483483,2.3641393895102834,30.72083861167525,-14.086994727553424,-0.6522204074128779,2.2774861071352923,-54.439089958717865,25000.0,0,footprint,3.9784943325052704,0.0238137562832467,1.1957656553886682,9.197722080474867,3175.6906370988145,0.0,0.0,0.0
