case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,failure_mode,guidance_mode,navigation_mode,actuator_mode
0,1.021747048921407,0.9815693723646981,0.8599579726592079,0.9670791396028174,-3.7283639251913243,21.711472265787435,-1.0013969048126927,-57.4985453560074,0.6294058600313623,True,44.559999999999405,0.0,-1.6236887048753896,0.0,-1.6236887048753896,-0.11952088348965524,-0.713768962255553,0.7237066899438728,4054.2606077964374,2816.72499875645,1.5441613633902074,1.1940667677616077,1.6979300372008852,0.7112247288918309,0,success,corridor,truth,flight_like
1,1.0044274954929107,1.00719209587308,0.8919650454777588,0.8880330745260027,-9.453676896133793,15.452348469176286,-1.7662076855345763,-57.741115679387576,2.047060593257826,True,45.11999999999939,0.0,-1.39225650686397,0.0,-1.39225650686397,0.025955124756945974,-0.8066924617502927,0.8071099035112232,4126.47466417505,2923.8700069365113,2.047060593257826,0.25245746397778923,0.29633688680809267,0.710372050658994,0,success,corridor,truth,flight_like
2,1.0101013398003098,0.9633707345339922,1.005949241827155,1.123799373822537,-3.233323334683366,15.961074597566679,-1.728795532209996,-59.063478208349814,1.552205241539665,True,43.599999999999426,0.0,-0.8959887832068404,0.0,-0.8959887832068404,0.05318713468921702,-0.7718152788757028,0.7736457173683752,3969.412340306124,2774.1828014318235,1.5522052415396652,0.18899356737755857,0.22338798400486637,0.7192974221055293,0,success,corridor,truth,flight_like
3,0.9936716677562735,0.9720821924047524,0.9574644735103708,0.9003265410908231,5.242382659854908,9.41532869785138,-2.3568664402854704,-56.71133815624142,-0.02637510328067364,True,46.07999999999937,0.0,-0.5581660703560462,0.0,-0.5581660703560462,0.11927290370469132,-0.6997862674341832,0.7098780498420941,4148.805574094025,2655.7697727392406,2.515093658000972,1.8787464971820012,2.784400984678337,0.6320469537516534,0,success,corridor,truth,flight_like
4,0.9986939999118145,0.9567046241280568,1.0639449943462516,1.123233731720547,1.3778000540093096,32.492909137068914,-3.9073025034289772,-58.58559165922606,-0.27469754922308565,True,43.679999999999424,0.0,-1.763811312974169,0.0,-1.763811312974169,0.358809056280902,-0.7601062316082294,0.8405387690040566,3963.8234057806367,2733.108963115763,2.8249853756777945,0.3562522584046625,0.4163155888781477,0.6645799604958549,0,success,corridor,truth,flight_like
5,1.0099549507844119,0.9866424140870823,0.9300879360964406,0.917221234227611,5.85917459652002,4.186085132664852,-1.0679695003166303,-57.70391138371572,1.5109997910405326,True,44.8799999999994,0.0,0.13101324787750399,0.0,0.13101324787750399,0.014622341770021204,-0.7362466634985583,0.7363918538329974,4084.4621822416266,2822.0347163679508,1.517239995002966,0.13946920094283824,0.2277200966175736,0.6975250269082879,0,success,corridor,truth,flight_like
6,1.0128465944004987,0.9928738911321268,0.8795240608487201,0.9428708163448996,11.189465775597789,14.38895678711847,-2.638977907730319,-57.52116052808496,1.0081105308167189,True,44.9599999999994,0.0,0.45045534386682884,0.0,0.45045534386682884,0.2949887716867423,-0.7039241087132281,0.7632349089559292,4096.508105443059,2853.60913248183,2.3384859507622884,1.1788311009064272,1.8308587703911712,0.646253430066897,0,success,corridor,truth,flight_like
7,1.0033050995003159,0.9996992877613604,1.0520740175377399,1.087976292406594,-5.920294832528587,21.751409480140005,-3.9768900146095776,-57.52862963096395,1.7055160528138562,True,44.8799999999994,0.0,0.13355221351744884,0.0,0.13355221351744884,0.41703540439205755,-0.8241700995451685,0.9236746621515283,4093.9226125210225,2903.9724018085,3.5757312612598287,1.035688301300467,1.627774269263277,0.7006720448974665,0,success,corridor,truth,flight_like
8,0.9846563702057628,1.0202694431133803,1.140669602884437,1.0908796753748982,17.53061580838028,10.195021405724749,-2.5425435585724387,-56.062634465871035,1.5097453360783495,True,45.999999999999375,0.0,2.8345895430091144,0.0,2.8345895430091144,0.19036640611322578,-0.7902151425075042,0.8128218378123344,4185.962464615939,2955.9236371777224,2.5381871890801877,1.552091014201902,2.5851599943571912,0.690884339742329,0,success,corridor,truth,flight_like
9,1.027369078671394,0.9622609419122248,0.9808954531735281,0.9389898190867925,3.0281709543068835,12.46119788535345,-5.113395289844556,-53.222743028344844,1.240349912444548,True,42.55999999999945,0.0,-0.684983948102964,0.0,-0.684983948102964,0.3925409447992796,-0.3146642438824193,0.5030924166810763,3855.886366405899,2879.9402269796738,5.233172960629972,3.116064590026427,3.167807548155499,0.7120604424816129,0,success,corridor,truth,flight_like
