case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,failure_mode,guidance_mode,navigation_mode,actuator_mode
0,1.021747048921407,0.9815693723646981,0.8599579726592079,0.9670791396028174,-3.7283639251913243,21.711472265787435,-1.0013969048126927,-57.4985453560074,0.6294058600313623,True,41.83999999999946,0.0,-1.2509668810389483,0.0,-1.2509668810389483,-0.17527528337830342,-1.2404165629115034,1.252738869241524,3848.490400561219,3022.4952059916686,1.574277957283822,1.3008360280227111,1.6324590387108326,0.7611641494265917,0,0.38760191292876467,0.2992989597340719,0.09398834855379769,0.4444088664001936,0.052616251545467584,success,corridor,estimated,flight_like
1,1.0044274954929107,1.00719209587308,0.8919650454777588,0.8880330745260027,-9.453676896133793,15.452348469176286,-1.7662076855345763,-57.741115679387576,2.047060593257826,False,45.27999999999939,0.0,-3.8227271389154582,0.0,-3.8227271389154582,0.18655761041283536,-0.7544951429026377,0.7772172557699804,4138.703226107922,2911.641445003639,2.047060593257826,0.4755212884094684,0.6400814308810552,0.7488402898939699,0,0.49925477660430073,0.3047202250562558,0.09028526481097858,0.41995229684996066,0.055702031999929076,pad_miss,corridor,estimated,flight_like
2,1.0101013398003098,0.9633707345339922,1.005949241827155,1.123799373822537,-3.233323334683366,15.961074597566679,-1.728795532209996,-59.063478208349814,1.552205241539665,True,43.03999999999944,0.0,2.719196835693608,0.0,2.719196835693608,0.20354709505884372,-1.0224296165642075,1.0424940003350265,3926.154684965404,2817.4404567725433,1.578936087521749,0.9986604342386805,1.1942649620490482,0.8732127574628212,0,0.49450983083365607,0.2979441784773046,0.1106683665949856,0.42777153049362227,0.05582986387470259,success,corridor,estimated,flight_like
3,0.9936716677562735,0.9720821924047524,0.9574644735103708,0.9003265410908231,5.242382659854908,9.41532869785138,-2.3568664402854704,-56.71133815624142,-0.02637510328067364,False,44.23999999999941,0.0,4.473545737399414,0.0,4.473545737399414,0.1013056904863225,-0.5983539692765658,0.6068692737929084,4014.347094095494,2790.228252737772,2.58762283620924,2.0638964066898193,2.5290484265569475,0.6665431304835601,0,0.47902978211868313,0.322882932680215,0.099932876653021,0.4340122166389599,0.10768048113867697,pad_miss,corridor,estimated,flight_like
4,0.9986939999118145,0.9567046241280568,1.0639449943462516,1.123233731720547,1.3778000540093096,32.492909137068914,-3.9073025034289772,-58.58559165922606,-0.27469754922308565,False,44.559999999999405,0.0,-3.385102462016421,0.0,-3.385102462016421,0.40893380558851533,-0.9703292792892716,1.0529794715943626,4026.8204632130182,2670.1119056833813,2.854986645490891,0.9858380048874469,1.2098480957091766,0.711898447811616,0,0.34536143198479413,0.47632712623199674,0.10510872431758436,0.43720155144964506,0.052223257874373735,pad_miss,corridor,estimated,flight_like
5,1.0099549507844119,0.9866424140870823,0.9300879360964406,0.917221234227611,5.85917459652002,4.186085132664852,-1.0679695003166303,-57.70391138371572,1.5109997910405326,False,43.43999999999943,0.0,4.125899263001936,0.0,4.125899263001936,0.10281283834545318,-0.6892019668098565,0.6968284084214871,3978.184686660803,2928.3122119487743,1.5195600480441946,0.4610889025251241,0.6439499100245694,0.8258461823711927,0,0.38645998094011746,0.33135265033517464,0.09862005176742727,0.41080824594917575,0.05505466982270405,pad_miss,corridor,estimated,flight_like
6,1.0128465944004987,0.9928738911321268,0.8795240608487201,0.9428708163448996,11.189465775597789,14.38895678711847,-2.638977907730319,-57.52116052808496,1.0081105308167189,False,44.159999999999414,0.0,-3.2075358854475837,0.0,-3.2075358854475837,0.20987579942571025,-0.9928838239253986,1.0148232057837971,4034.9798678067527,2915.1373701181365,2.0974803565596845,1.357505721632309,1.9938230212392103,0.7563252573388486,0,0.3998618558459596,0.3050406461192269,0.09991935664182111,0.4262135782864227,0.05217859445341317,pad_miss,corridor,estimated,flight_like
7,1.0033050995003159,0.9996992877613604,1.0520740175377399,1.087976292406594,-5.920294832528587,21.751409480140005,-3.9768900146095776,-57.52862963096395,1.7055160528138562,True,46.63999999999936,0.0,-0.5912264380690964,0.0,-0.5912264380690964,0.325347596819813,-0.6330479888058091,0.71175895841746,4225.356007423536,2772.5390069059868,3.515272368233348,1.2252652450726087,1.7856383267093043,0.7032089725954644,0,0.35870146945283277,0.29717889904655154,0.10081688014927585,0.40404781541114115,0.057669501646573855,success,corridor,estimated,flight_like
8,0.9846563702057628,1.0202694431133803,1.140669602884437,1.0908796753748982,17.53061580838028,10.195021405724749,-2.5425435585724387,-56.062634465871035,1.5097453360783495,True,45.039999999999395,0.0,2.456981636474398,0.0,2.456981636474398,0.2536089833294185,-0.7727845403485675,0.8133347786902562,4114.537523387193,3027.3485784064687,2.516938354757539,1.4840081479672842,2.0843721090048626,0.7021174729302216,0,0.37213294231949673,0.30412621523215144,0.10226945607067484,0.3838682835809121,0.055306434761317254,success,corridor,estimated,flight_like
9,1.027369078671394,0.9622609419122248,0.9808954531735281,0.9389898190867925,3.0281709543068835,12.46119788535345,-5.113395289844556,-53.222743028344844,1.240349912444548,True,43.27999999999943,0.0,-0.11563209262215718,0.0,-0.11563209262215718,0.30716444838291346,-0.6797826910919516,0.7459587826807826,3906.166215806399,2829.6603775791737,5.134655525283065,3.032374815970564,3.2812096049496895,0.7446744393594312,0,0.6251620589514724,0.2945950288969897,0.09841057897798637,0.4368910764126952,0.05205409075675187,success,corridor,estimated,flight_like
10,1.021387702308113,0.9449537863698603,1.012808781825978,0.9122881961388689,-3.676978976773018,20.506056747437306,-3.6349943474694735,-57.30457898643813,1.7286457895684864,True,43.599999999999426,0.0,-2.8640426747816465,0.0,-2.8640426747816465,0.44333781165654074,-1.0052961571677326,1.0987123276183903,3937.487536613924,2677.1889679750966,3.133539124105328,1.2439761985988154,1.5716090025174874,0.6754017256052486,0,0.39677837492712004,0.258726832986438,0.10229111776825414,0.4548306230471273,0.05864441203022929,success,corridor,estimated,flight_like
11,1.0235608614642704,1.0016520039856014,1.1660756569388493,1.14706719951194,-6.106903625889334,21.514604973071442,-2.6269637898335523,-59.61811251479646,0.10325312173295655,False,42.639999999999446,0.0,-4.683808824101998,0.0,-4.683808824101998,0.2899274679215092,-0.9061280880106329,0.9513811268556798,3940.784652293718,3070.7793756054925,1.897577685027538,0.8529737314340878,1.119005150357915,0.9063988892917443,0,0.36734920150813694,0.39695090172728,0.09650011042661356,0.41843575179900266,0.05582677724262092,pad_miss,corridor,estimated,flight_like
12,1.0046987465618809,0.9538025743396483,0.8751523904788013,0.8729338919528896,-2.0581477109095054,28.69262466426276,-1.1137173318617215,-56.86366419954252,0.5808994269877009,False,43.75999999999942,0.0,-3.4439310237114817,0.0,-3.4439310237114817,-0.2900252176247051,-0.8729985844471367,0.9199136673106678,3959.4150406024346,2717.202979775102,2.7842772682401624,2.6828166523694943,3.8603039183542545,0.8729133765659404,0,0.4610321646937762,0.32828116630672866,0.10795429568077097,0.399106818568516,0.0575042250229469,pad_miss,corridor,estimated,flight_like
13,0.9819989584512546,0.9955275051700977,0.9097175279029741,1.1001858417897594,3.2393354341281757,26.07553330949183,-2.6601102905420033,-57.378749324770915,0.7495824094666109,True,46.879999999999356,0.0,2.962618990165985,0.0,2.962618990165985,0.14754352564526185,-0.6831675660788166,0.6989184611253936,4238.136235812217,2730.5563003784664,1.133565664299417,0.7718550222717936,1.0854341264306877,0.725854203959361,0,0.4001523898872127,0.3876496157082976,0.09369263518376292,0.3818781115225776,0.0906168442029295,success,corridor,estimated,flight_like
14,0.9766757047833045,0.964058311360241,1.1580821755691264,1.0000400798027893,8.526963182040863,24.367143907329115,-2.0572698101836115,-62.042102992710674,2.0521760672426232,True,44.8799999999994,0.0,-1.762411450409828,0.0,-1.762411450409828,-0.04124940265300618,-0.9895367035764222,0.9903960828598435,4083.8005050521533,2664.6076744695347,2.0521760672426232,1.2160270764558476,1.6381310111465086,0.724486853726955,0,0.4480017776446507,0.25625593432361116,0.10897230438152143,0.40786436328474057,0.06257250447628118,success,corridor,estimated,flight_like
15,0.9955420886803017,1.026500111783143,1.1157139023230958,0.925800256640975,-9.846469636466143,20.755954360845614,-4.4671171703490105,-53.052300112856834,1.4113128304651088,True,45.19999999999939,0.0,0.6891989363492244,0.0,0.6891989363492244,0.3280131576012671,-0.6686583585739108,0.7447795862201853,4117.574865404062,3067.925917077937,4.550145402394964,2.9774326025292397,3.069032343107929,0.7507899264830329,0,0.4232120602252321,0.2840192192064467,0.09468735849215676,0.4054402962919925,0.06074593693051005,success,corridor,estimated,flight_like
16,1.0034916064443977,0.9564724319228719,0.8961069098265658,0.8928212888320699,15.045225961168118,23.62123541335271,-2.5817047603854,-57.53319016977977,1.7887712081450484,False,41.51999999999947,0.0,2.8253357902277276,0.0,2.8253357902277276,0.15590974039676306,-3.6026203289424164,3.6059923851361293,3778.899946250338,2916.4070772097657,1.7887712081450484,0.5985837575486062,0.8964805627482327,0.7662116000966525,0,0.3631248328628458,0.27709767281745623,0.08745449853494225,0.41932121834910013,0.07450576936216645,vertical_speed,corridor,estimated,flight_like
17,0.9873148798277946,1.0378573538072058,1.0865603364922924,1.1009143608602503,-6.374419505195693,28.11238266516395,-3.954702791256066,-58.301241191721424,0.7855320894854576,True,45.919999999999376,0.0,-2.7485055920983608,0.0,-2.7485055920983608,0.42182057261642236,-0.7895572194448092,0.8951721612404314,4220.652781421308,3044.3486952291314,2.7161459431585233,0.7023797421263838,1.01799434560349,0.6886763062997798,0,0.3969717286109078,0.27124712118457717,0.09572194156069097,0.3887393247658578,0.0631724625815797,success,corridor,estimated,flight_like
18,0.9806104811037019,1.0231744045638194,1.0107004675988993,1.0656490686683902,8.898889617677401,21.13958325437359,-2.224053472744157,-57.26564139347319,1.2348921895353446,False,45.59999999999938,0.0,4.634127205731906,0.0,4.634127205731906,0.10810060320037122,-0.901536185300911,0.9079940714669906,4171.788849323573,2990.431982623162,1.2348921895353444,0.5647717083829923,0.8850540908037843,0.7570819262740889,0,0.4012342950300282,0.34443704832494143,0.09857490945558531,0.39435418531609234,0.0535546457082577,pad_miss,corridor,estimated,flight_like
19,0.98357498801071,1.0016999528384078,0.8518999707984197,1.1361141850723302,10.210983175873107,9.808193455753264,-2.4604544907571766,-55.49744034593819,2.0092313831082125,True,46.07999999999937,0.0,1.0203516395719536,0.0,1.0203516395719536,0.10937356878292484,-0.7985433918070468,0.8059988375593453,4171.614816020745,2840.284853848112,2.6462671737108487,1.7628263473679322,2.64000483395705,0.7525681966650453,0,0.6890693320208103,0.47464160655492343,0.0999088190348312,0.404116277998911,0.06657416604749056,success,corridor,estimated,flight_like
20,1.0083071059883086,1.0289885223378463,0.942216614150645,0.8672269334875959,0.217958373114147,1.4523567911800335,-2.6617172393675914,-56.7927624849297,1.098542471635108,True,44.7199999999994,0.0,-1.369407468543671,0.0,-1.369407468543671,0.1512144239219094,-0.9088809455270083,0.921374177597844,4114.374870027106,3088.5447863378176,3.1817701851100813,2.5678904193421666,3.4898521363249446,0.6669054272820056,0,0.5233145452299086,0.359915756616877,0.10688692213851109,0.42732414145414277,0.05434216560979327,success,corridor,estimated,flight_like
21,0.9820170082036949,1.0358245465605582,0.9439441827796597,1.0538126150596776,-0.10655443419055644,12.089396971110943,-2.516232569497044,-59.027798611320996,1.1374145724537086,False,45.919999999999376,0.0,-3.0025834009246686,0.0,-3.0025834009246686,0.2731091288257146,-0.6921225616448694,0.7440579524377096,4227.654489693396,3023.1173362305126,2.3257080604811384,0.7658635023648136,0.948821922208474,0.7550451113699795,0,0.36521743599737144,0.28877886668194525,0.09968933052106894,0.3923184367192064,0.053720450200656335,pad_miss,corridor,estimated,flight_like
22,0.99821968630274,1.0150375701648802,1.006369063690032,0.9519134842169077,7.001094877855071,17.05730408460406,-1.166687066009113,-59.81419796906742,1.1928499170537623,False,43.599999999999426,0.0,4.21745615322339,0.0,4.21745615322339,0.09054948544340552,-0.9727192808312658,0.9769247712157577,4034.0720495982787,3071.1909415558803,1.192849917053762,0.5092889954238996,0.6964231442445945,0.7485101184840662,0,0.6721948442451807,0.3298588337815753,0.09344605162421588,0.4112907682885967,0.056753055026986216,pad_miss,corridor,estimated,flight_like
23,0.9923788810511982,0.9741169848012552,0.8984172207239969,1.1176913812805858,-11.15043570975731,13.764772406488031,-3.3204108477023753,-56.943793183583146,0.32535946822160683,True,44.559999999999405,0.0,-2.681989519016978,0.0,-2.681989519016978,0.3440533490750635,-0.8764687889379003,0.9415785920421285,4037.427542194444,2781.3913514143424,3.5320005572614988,2.372132820294218,3.266695292272492,0.6742762189317526,0,0.49929369885484587,0.2912464096383842,0.09910812182390753,0.40079578330742555,0.05818131386731162,success,corridor,estimated,flight_like
