case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,failure_mode,guidance_mode
0,1.021747048921407,0.9815693723646981,0.8599579726592079,0.9670791396028174,-3.7283639251913243,21.711472265787435,-1.0013969048126927,-57.4985453560074,0.6294058600313623,True,45.999999999999375,0.0,-1.9504691884124834,-0.04891485661936277,-0.749708929099658,0.7513029625722561,4160.180878303807,2710.8047282490807,1.5829864015925583,1.6979300372008852,success,corridor
1,1.0044274954929107,1.00719209587308,0.8919650454777588,0.8880330745260027,-9.453676896133793,15.452348469176286,-1.7662076855345763,-57.741115679387576,2.047060593257826,True,47.359999999999346,0.0,-1.0243187307960633,-0.005491797716838669,-0.7494662911038141,0.7494864117134278,4292.633622246012,2757.711048865549,2.047060593257826,0.20702556192005384,success,corridor
2,1.0101013398003098,0.9633707345339922,1.005949241827155,1.123799373822537,-3.233323334683366,15.961074597566679,-1.728795532209996,-59.063478208349814,1.552205241539665,True,46.23999999999937,0.0,-0.7373210736931046,0.04046710441625766,-0.7496899775422352,0.7507813589635224,4163.3756972830815,2580.219444454866,1.5522052415396652,0.15623448630038694,success,corridor
3,0.9936716677562735,0.9720821924047524,0.9574644735103708,0.9003265410908231,5.242382659854908,9.41532869785138,-2.3568664402854704,-56.71133815624142,-0.02637510328067364,True,47.27999999999935,0.0,-0.29004985116039633,0.1181625059065509,-0.7496722145519341,0.7589274056675755,4236.376890567848,2568.198456265418,2.614576445022908,2.784400984678337,success,corridor
4,0.9986939999118145,0.9567046241280568,1.0639449943462516,1.123233731720547,1.3778000540093096,32.492909137068914,-3.9073025034289772,-58.58559165922606,-0.27469754922308565,True,46.959999999999354,0.0,-0.4368852130231519,0.33480347230305324,-0.7497504592247948,0.8211084679711761,4203.937939362662,2492.9944295337373,2.801227495929142,0.33296536718931163,success,corridor
5,1.0099549507844119,0.9866424140870823,0.9300879360964406,0.917221234227611,5.85917459652002,4.186085132664852,-1.0679695003166303,-57.70391138371572,1.5109997910405326,True,46.71999999999936,0.0,0.2176928593069153,0.014988302391534364,-0.7503665605802038,0.7505162386288152,4219.966946212273,2686.5299523973044,1.5614619080516159,0.2277200966175736,success,corridor
6,1.0128465944004987,0.9928738911321268,0.8795240608487201,0.9428708163448996,11.189465775597789,14.38895678711847,-2.638977907730319,-57.52116052808496,1.0081105308167189,True,46.479999999999364,0.0,1.0760896432769713,0.24828010052609728,-0.750259074281121,0.7902731723008277,4208.468161588942,2741.649076335947,2.527191429474571,1.8308587703911712,success,corridor
7,1.0033050995003159,0.9996992877613604,1.0520740175377399,1.087976292406594,-5.920294832528587,21.751409480140005,-3.9768900146095776,-57.52862963096395,1.7055160528138562,True,47.03999999999935,0.0,1.2413573146504056,0.2664004247027302,-0.7495321557065344,0.7954669312547691,4254.286572481484,2743.6084418480386,3.6761521647099857,1.627774269263277,success,corridor
8,0.9846563702057628,1.0202694431133803,1.140669602884437,1.0908796753748982,17.53061580838028,10.195021405724749,-2.5425435585724387,-56.062634465871035,1.5097453360783495,False,48.07999999999933,0.0,3.599231724341825,0.13432330533023099,-0.7499270001105126,0.7618617038869924,4340.5029921731875,2801.383109620474,2.7288292247957564,2.5851599943571912,pad_miss,corridor
9,1.027369078671394,0.9622609419122248,0.9808954531735281,0.9389898190867925,3.0281709543068835,12.46119788535345,-5.113395289844556,-53.222743028344844,1.240349912444548,True,45.35999999999939,0.0,0.46857405184729367,0.3362849991096459,-0.7501253461242359,0.8220557374802387,4059.1449808381913,2676.6816125473815,5.332312396987933,3.167807548155499,success,corridor
10,1.021387702308113,0.9449537863698603,1.012808781825978,0.9122881961388689,-3.676978976773018,20.506056747437306,-3.6349943474694735,-57.30457898643813,1.7286457895684864,True,45.67999999999938,0.0,0.6144074551835075,0.36556038713738653,-0.7504439697843738,0.8347457986894968,4091.5870425185312,2523.0894620704894,3.2127659546371587,1.543485743595879,success,corridor
11,1.0235608614642704,1.0016520039856014,1.1660756569388493,1.14706719951194,-6.106903625889334,21.514604973071442,-2.6269637898335523,-59.61811251479646,0.10325312173295655,True,45.999999999999375,0.0,-0.8701944018656734,0.2912163163396598,-0.7497599655331443,0.8043301242765327,4191.885795754311,2819.678232144899,1.9910277050364154,0.5669749328316951,success,corridor
12,1.0046987465618809,0.9538025743396483,0.8751523904788013,0.8729338919528896,-2.0581477109095054,28.69262466426276,-1.1137173318617215,-56.86366419954252,0.5808994269877009,False,46.879999999999356,0.0,-3.625104905315229,0.03639956032942097,-0.7495740186346742,0.7504572855295031,4188.650445877491,2487.967574500046,2.9831632120047646,3.454705754592652,pad_miss,corridor
13,0.9819989584512546,0.9955275051700977,0.9097175279029741,1.1001858417897594,3.2393354341281757,26.07553330949183,-2.6601102905420033,-57.378749324770915,0.7495824094666109,True,48.07999999999933,0.0,-0.7790840308822017,0.10996664417023491,-0.7497055404442451,0.757727563312079,4325.912776105419,2642.7797600852646,1.1657542791725897,0.5698920646024894,success,corridor
14,0.9766757047833045,0.964058311360241,1.1580821755691264,1.0000400798027893,8.526963182040863,24.367143907329115,-2.0572698101836115,-62.042102992710674,2.0521760672426232,True,47.59999999999934,0.0,-0.7052241770685673,0.0021732797038801844,-0.750232936081775,0.7502360838606418,4284.266950357043,2464.1412291646448,2.0521760672426232,1.4456791756919378,success,corridor
15,0.9955420886803017,1.026500111783143,1.1157139023230958,0.925800256640975,-9.846469636466143,20.755954360845614,-4.4671171703490105,-53.052300112856834,1.4113128304651088,True,47.99999999999933,0.0,1.311928086711792,0.22152189546179107,-0.7493902472227716,0.781445898832153,4325.502169003354,2859.998613478645,4.770479473860285,3.0737779432441905,success,corridor
16,1.0034916064443977,0.9564724319228719,0.8961069098265658,0.8928212888320699,15.045225961168118,23.62123541335271,-2.5817047603854,-57.53319016977977,1.7887712081450484,True,47.03999999999935,0.0,1.672760152177535,0.04684169828889411,-0.7492617900732408,0.7507245665104779,4205.709071372396,2489.597952087708,1.7887712081450484,0.6806329739733459,success,corridor
17,0.9873148798277946,1.0378573538072058,1.0865603364922924,1.1009143608602503,-6.374419505195693,28.11238266516395,-3.954702791256066,-58.301241191721424,0.7855320894854576,True,48.319999999999325,0.0,0.5110569991859202,0.21901606141972382,-0.7499132262359892,0.781241244458764,4399.6005963604985,2865.4008802899407,2.7888471324735806,0.5312340819744839,success,corridor
18,0.9806104811037019,1.0231744045638194,1.0107004675988993,1.0656490686683902,8.898889617677401,21.13958325437359,-2.224053472744157,-57.26564139347319,1.2348921895353446,True,48.63999999999932,0.0,0.6313311674180242,0.05943668096744865,-0.7502465846138181,0.7525972739580746,4398.157340868274,2764.063491078461,1.2348921895353444,0.2624141485838064,success,corridor
19,0.98357498801071,1.0016999528384078,0.8518999707984197,1.1361141850723302,10.210983175873107,9.808193455753264,-2.4604544907571766,-55.49744034593819,2.0092313831082125,True,48.15999999999933,0.0,0.5986951590413373,0.11923694841687654,-0.7495316754681012,0.7589566406572827,4325.404179029414,2686.495490839443,2.8364550926426926,2.684565057561824,success,corridor
20,1.0083071059883086,1.0289885223378463,0.942216614150645,0.8672269334875959,0.217958373114147,1.4523567911800335,-2.6617172393675914,-56.7927624849297,1.098542471635108,True,47.03999999999935,0.0,0.4667418324213948,0.11080446560782702,-0.750744825142414,0.7588777385565806,4288.73827433107,2914.181382033854,3.576495091354306,3.2458016406006913,success,corridor
21,0.9820170082036949,1.0358245465605582,0.9439441827796597,1.0538126150596776,-0.10655443419055644,12.089396971110943,-2.516232569497044,-59.027798611320996,1.1374145724537086,True,48.87999999999931,0.0,-0.15668882089525046,0.1035915265355358,-0.7497706213376977,0.7568931159622737,4447.041253536412,2803.730572387496,2.5342494470286794,1.286651134542497,success,corridor
22,0.99821968630274,1.0150375701648802,1.006369063690032,0.9519134842169077,7.001094877855071,17.05730408460406,-1.166687066009113,-59.81419796906742,1.1928499170537623,True,47.67999999999934,0.0,0.2267932387586441,-0.008316320419210179,-0.7495425628271996,0.7495886970031508,4338.681147583891,2766.5818435702677,1.192849917053762,0.7027015547381462,success,corridor
23,0.9923788810511982,0.9741169848012552,0.8984172207239969,1.1176913812805858,-11.15043570975731,13.764772406488031,-3.3204108477023753,-56.943793183583146,0.32535946822160683,True,47.359999999999346,0.0,-0.7363484245875437,0.1945382343863199,-0.7494867594882872,0.7743226248059658,4244.092109286543,2574.7267843222435,3.809401943432338,3.503639238266542,success,corridor
24,1.02084784638545,0.9422959584585118,1.056359070742066,1.0942993448979172,17.322752088934934,22.68508191733413,-1.745419028115443,-60.82161024497246,0.8644247689790977,True,45.59999999999938,0.0,2.1759944293611406,0.002040944920573091,-0.7493611558446552,0.7493639351776988,4102.051786679018,2494.0199225305623,0.8644247689790977,0.8519979192757747,success,corridor
25,0.9796441601623137,1.0265377218445815,0.9113455120109778,1.0089391550905584,6.48296880843473,16.835200462954372,-3.0442389230565823,-52.89808811420868,-0.08162769780550051,True,48.47999999999932,0.0,1.4457290748917884,0.19607665263976778,-0.7503469630899878,0.7755427897471446,4360.984487805079,2824.77956510699,3.0995760003338324,3.894895233793026,success,corridor
26,0.9762670183908059,1.0275938577318384,1.0378338036169434,0.920716514931208,0.986282401830131,23.955399183452283,-3.6412229502085056,-56.78272419331144,0.4248391883283847,True,49.11999999999931,0.0,1.9634954762285373,0.1653662730252148,-0.749851187872771,0.76786900458897,4438.564075363327,2754.5929287595427,2.9875230074484853,1.6239784906453578,success,corridor
27,1.0087217408702676,0.9925288344910989,1.0393878246865513,0.8812253808487042,17.574004708711144,1.044475756716114,-1.7093078127556969,-56.81143495758754,1.530290644409109,True,46.479999999999364,0.0,2.8120892095713463,0.0638949167449301,-0.7493677296146806,0.752086799893272,4200.341492055555,2747.3603493821356,2.2952542415016266,1.6296035888137208,success,corridor
28,0.9919172835373291,1.0365416759287966,1.0552091158298287,0.9063590210312465,0.14595925364287154,17.417276420214428,-3.745193936868011,-59.67041614752503,0.7102719959887944,True,47.67999999999934,0.0,1.4526151942219019,0.2250681175545339,-0.7507422886776355,0.7837535591934978,4365.164066412326,2890.6276650892505,3.8480892851405906,1.9947667556022928,success,corridor
