time_s,x_m,z_m,vx_mps,vz_mps,theta_deg,omega_deg_s,mass_kg,prop_remaining_kg,target_x_m,target_error_m,commanded_throttle,commanded_gimbal_deg,throttle,gimbal_deg,desired_theta_deg,desired_ax_mps2,desired_az_mps2,thrust_scale,navigation_rejection_count
0.0,18.0,720.0,-2.5,-58.0,1.0,0.0,25000.0,7000.0,0.0,18.0,0.44112550306554454,0.6480545336044529,0.44112550306554454,0.6480545336044529,2.178280970189914,0.51,3.6015228524495635,1.0,0
0.05,17.875347925347135,717.1048081569909,-2.4860794507598616,-57.80765957280354,1.002391548891232,0.09556826100398431,24993.938557644506,6993.938557644506,0.0,17.875347925347135,0.4355577937406052,0.499051310446098,0.4355577937406052,0.499051310446098,2.1964623508960903,0.5078929315587277,3.4354912696998507,1.0,0
0.1,17.75138913974571,714.2190238551478,-2.4722603742929703,-57.62369855330441,1.0089743808552838,0.16767432513330682,24987.953620385386,6987.953620385386,0.0,17.75138913974571,0.4305635583642813,0.38515331296039007,0.4305635583642813,0.38515331296039007,2.212276107092277,0.5058076830106762,3.2867618232439173,1.0,0
0.15000000000000002,17.62812002309471,711.3422498454892,-2.4584867665656964,-57.447248037824195,1.0187208259075764,0.22213008879994642,24982.03730819925,6982.037308199251,0.0,17.62812002309471,0.42608309815162515,0.29736896420623277,0.42608309815162515,0.29736896420623277,2.225781936318748,0.5037208412647513,3.1535408328741905,1.0,0
0.2,17.505539420732994,708.4741300718287,-2.4447154518879604,-57.2775292304504,1.0308547206368548,0.2631854499004224,24976.182561375164,6976.182561375164,0.0,17.505539420732994,0.4220629556412703,0.22915600238181794,0.4220629556412703,0.22915600238181794,2.2370583473959726,0.5016143071709536,3.034220689158535,1.0,0
0.25,17.383648086129543,705.6143453992298,-2.430912877420493,-57.11384408569006,1.0447845022762934,0.2939756291393276,24970.38305475351,6970.383054753511,0.0,17.383648086129543,0.41845525393531185,0.17571671667663474,0.41845525393531185,0.17571671667663474,2.246196329106339,0.49947396593272064,2.9273605245883725,1.0,0
0.3,17.26244826038612,702.7626097859794,-2.4170527986006833,-56.955566926262236,1.0600552798670617,0.3168330651753997,24964.63312104427,6964.6331210442695,0.0,17.26244826038612,0.4152171087013226,0.13350701464844705,0.4152171087013226,0.13350701464844705,2.253294502026801,0.49728872760070353,2.831668899735676,1.0,0
0.35,17.141943351009456,699.9186668528812,-2.4031145903866142,-56.80213693325282,1.07631419173141,0.333507062295123,24958.92768222489,6958.92768222489,0.0,17.141943351009456,0.412310103869831,0.09989102454134978,0.412310103869831,0.09989102454134978,2.258455423237415,0.49504982743209425,2.7459882919352965,1.0,0
0.39999999999999997,17.02213768345993,697.0822868085332,-2.3890820024443284,-56.653051417136076,1.0932851558505807,0.34531992120388105,24953.262188142533,6953.262188142533,0.0,17.02213768345993,0.40969982350300793,0.07289583139211918,0.40969982350300793,0.07289583139211918,2.2617827947206224,0.49275031052282003,2.669281197354669,1.0,0
0.44999999999999996,16.903036306600693,694.2532636935817,-2.3749422322186975,-56.5078597880227,1.1107503211843262,0.35327888921348655,24947.632561548828,6947.632561548828,0.0,16.903036306600693,0.4073554334373363,0.0510358171164673,0.4073554334373363,0.0510358171164673,2.2633793835819986,0.4903846483338321,2.600617677701515,1.0,0
