time_s,x_m,z_m,vx_mps,vz_mps,theta_deg,omega_deg_s,mass_kg,prop_remaining_kg,target_x_m,target_error_m,commanded_throttle,commanded_gimbal_deg,throttle,gimbal_deg,desired_theta_deg,desired_ax_mps2,desired_az_mps2,thrust_scale,navigation_rejection_count,estimated_x_m,estimated_z_m,estimated_vx_mps,estimated_vz_mps,estimated_theta_deg,estimated_omega_deg_s,x_estimation_error_m,z_estimation_error_m,vx_estimation_error_mps,vz_estimation_error_mps,theta_estimation_error_deg
0.0,18.0,720.0,-2.5,-58.0,1.0,0.0,25000.0,7000.0,12.0,6.0,0.43646746370379913,1.9952229453790378,0.0,0.0,4.964836034934836,1.1525155905416358,3.4604385365963397,1.0,0,17.729975534788036,719.8737566318217,-2.5469516472793785,-57.92788232710212,0.8679360663182489,0.15640729536974857,-0.2700244652119643,-0.12624336817827952,-0.046951647279378506,0.07211767289788185,-0.13206393368175112
0.05,17.875055457234442,717.0880488871128,-2.4977788485991588,-58.47801135022078,1.0,0.0,25000.0,7000.0,12.0,5.875055457234442,0.44429833449180994,1.9518828839008622,0.0,0.0,4.893856287924821,1.156336018012555,3.6984416438549212,1.0,0,17.602627952424065,716.9773625154667,-2.5469516472793785,-57.92788232710212,0.8757564310867363,0.15640729536974857,-0.27242750481037703,-0.11068637164612483,-0.04917279868021973,0.5501290231186644,-0.12424356891326374
0.1,17.750222401227113,714.1522021944118,-2.4955405319858777,-58.955822934509676,1.0,0.0,25000.0,7000.0,12.0,5.750222401227113,0.4916857637750804,1.6760186810741564,0.08082730809329614,0.665074315126346,4.366639974627522,1.1412342970594938,5.138768518952039,1.0,0,17.761628014432056,714.0484039512247,-2.52708295671626,-58.498910182578896,0.8962572035099797,0.14102535941847988,0.01140561320494271,-0.10379824318704323,-0.03154242473038238,0.45691275193077985,-0.10374279649002034
0.15000000000000002,17.625555257759174,711.1955405351973,-2.491142991605002,-59.31061745546642,1.0004497108255614,0.01797081452573807,24998.889363536335,6998.889363536335,12.0,5.625555257759174,0.49960405937019603,1.6419413254871396,0.14813675742635424,1.0940105047178514,4.311732414258414,1.145024921494568,5.380100581073975,1.0,0,17.635273866596243,711.1234584420957,-2.52708295671626,-58.498910182578896,0.9033084714809038,0.14102535941847988,0.009718608837069098,-0.07208209310158509,-0.035939965111257965,0.8117072728875243,-0.09714123934465771
0.2,17.501152999959224,708.2237002839474,-2.4849444390034217,-59.56297155118979,1.0027013425047324,0.07204144206818473,24996.853837570074,6996.853837570074,12.0,5.501152999959224,0.5475368112241322,1.5656466941031373,0.21175694378722945,1.288013230169953,4.084760135752866,1.1886843665881917,6.838433014571656,1.0,0,17.509234912942865,708.2960762809219,-2.6037719499547647,-59.08204253315702,0.9167845893106895,0.10711506450912713,0.00808191298364136,0.0723759969744151,-0.11882751095134303,0.4809290180327679,-0.08591675319404289
0.25,17.377103554483906,705.241662804878,-2.4770270669297885,-59.71851020348109,1.00857442368848,0.16279283307168807,24993.944115735307,6993.944115735307,12.0,5.377103554483906,0.5555233196961945,1.5375068634489764,0.2650619651914825,1.4059892619423486,4.038952560516211,1.192590024513124,7.08316304505096,1.0,0,17.379046315445127,705.341974154264,-2.6037719499547647,-59.08204253315702,0.9221403425361457,0.10711506450912713,0.001942760961220813,0.10031134938594732,-0.12674488302497622,0.6364676703240661,-0.08643408115233414
0.3,17.253486910006245,702.2538766582833,-2.467625212960067,-59.792920547938856,1.0198076302557288,0.28641423181698883,24990.30193723627,6990.301937236269,12.0,5.253486910006245,0.5993161473620984,1.070839089901542,0.3173721218641954,1.4592084059959447,3.5441831688577508,1.1287378715238674,8.417410621209585,1.0,0,17.578074351351784,702.3242181843677,-2.492461734739271,-59.59809703188658,0.8944012880137492,0.2342672391288843,0.32458744134553896,0.0703415260844622,-0.024836521779203924,0.19482351605227421,-0.12540634224197975
0.35,17.130378325201796,699.2643604249149,-2.4566928250040623,-59.78771526893882,1.0379602540511341,0.43954059567764986,24985.940972366745,6985.940972366745,12.0,5.1303783252017965,0.6073651664211811,1.0446540891750575,0.36147419553678783,1.485307891813622,3.5082874385842233,1.1324765641259762,8.665330080571223,1.0,0,17.45345126461482,699.3443133327734,-2.492461734739271,-59.59809703188658,0.9061146499701934,0.2342672391288843,0.3230729394130236,0.07995290785845555,-0.03576890973520852,0.1896182370522368,-0.13184560408094073
0.39999999999999997,17.007851314961222,696.2767829867322,-2.4443458655815005,-59.71536961967523,1.0643639467619892,0.6164336876535608,24980.974007219596,6980.974007219596,12.0,5.007851314961222,0.6376923818388954,0.24361288388920013,0.40551900143036385,1.3471516245095951,3.208179190035774,1.0872903697067695,9.591278329249581,1.0,0,17.565549618032787,695.8561486787006,-2.4120324197072174,-59.90051182820609,0.9532000472080757,0.6040155422218388,0.5576983030715645,-0.42063430803159463,0.03231344587428309,-0.18514220853086272,-0.11116389955391356
0.44999999999999996,16.885980039212843,693.2944993944909,-2.4304426881767354,-59.575961856034745,1.0996650122095653,0.7954334397873947,24975.401828703176,6975.401828703176,12.0,4.885980039212843,0.6457836891042217,0.21035221351698613,0.44289792087310775,1.246319112731416,3.1779060210155676,1.0909084183363305,9.841615019940049,1.0,0,17.444947997047425,692.8611230872903,-2.4120324197072174,-59.90051182820609,0.9834008243191678,0.6040155422218388,0.5589679578345823,-0.43337630720066045,0.018410268469517987,-0.3245499721713472,-0.11626418789039755
