case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,ekf_mean_nees,ekf_p95_nees,ekf_x_3sigma_coverage,ekf_z_3sigma_coverage,ekf_vx_3sigma_coverage,ekf_vz_3sigma_coverage,ekf_theta_3sigma_coverage,ekf_bax_3sigma_coverage,ekf_baz_3sigma_coverage,ekf_bg_3sigma_coverage,ekf_rejected_updates,ekf_gps_accepted_updates,ekf_gps_rejected_updates,ekf_mean_gps_nis,ekf_mean_gps_normalized_nis,ekf_radar_accepted_updates,ekf_radar_rejected_updates,ekf_mean_radar_nis,ekf_mean_radar_normalized_nis,ekf_attitude_accepted_updates,ekf_attitude_rejected_updates,ekf_mean_attitude_nis,ekf_mean_attitude_normalized_nis,failure_mode,guidance_mode,navigation_mode,actuator_mode
10,1.021387702308113,0.9449537863698603,1.012808781825978,0.9122881961388689,-3.676978976773018,20.506056747437306,-3.6349943474694735,-57.30457898643813,1.7286457895684864,True,43.91999999999942,0.0,-1.905055924387538,0.0,-1.905055924387538,0.38427760594031746,-0.7519194342260138,0.8444241315796172,3962.9456929067856,2651.730811682235,3.1969592607392827,0.9494715085857933,1.4016516308449423,0.7124031740729371,1,0.1890686162925653,0.07470289009493435,0.04747726805993123,0.0486962774797518,0.03231794069832781,7.08778187506332,14.76040232266863,1.0,0.9854545454545455,1.0,1.0,1.0,1.0,1.0,1.0,1,219,0,3.9592888752261572,0.9898222188065393,439,1,0.9379868913840401,0.9379868913840401,549,0,0.8631306079577004,0.8631306079577004,success,corridor,ekf,flight_like
11,1.0235608614642704,1.0016520039856014,1.1660756569388493,1.14706719951194,-6.106903625889334,21.514604973071442,-2.6269637898335523,-59.61811251479646,0.10325312173295655,True,44.23999999999941,0.0,0.22586808760017338,0.0,0.22586808760017338,0.2811092746033954,-0.7927745230398149,0.8411384360787784,4060.96544214592,2950.5985857532905,2.078205107975815,0.5936605713506506,1.1483197305925494,0.6625449884915184,2,0.16763078656748562,0.07660126442710673,0.04850914781326956,0.04641850599729594,0.030009067375626888,5.662417924061884,10.391422806144579,1.0,0.9963898916967509,1.0,0.9981949458483754,1.0,1.0,1.0,1.0,2,220,1,4.196363598675323,1.0490908996688308,442,1,0.9966759652383989,0.9966759652383989,553,0,0.9229581597713951,0.9229581597713951,success,corridor,ekf,flight_like
12,1.0046987465618809,0.9538025743396483,0.8751523904788013,0.8729338919528896,-2.0581477109095054,28.69262466426276,-1.1137173318617215,-56.86366419954252,0.5808994269877009,False,44.47999999999941,0.0,-3.3252534542730445,0.0,-3.3252534542730445,-0.06912764335087249,-0.6972387574911414,0.7006572029338142,4013.6437025768428,2662.974317800694,2.8357921511669106,2.1392097141323703,2.6455198835528106,0.7172480897638684,5,0.1413975476535939,0.07315564979626495,0.055089844957127085,0.04351427657796306,0.03848654022405848,6.104091461433588,12.350538691557519,1.0,1.0,1.0,1.0,0.9964093357271095,1.0,1.0,0.9982046678635548,5,221,1,3.846274435152985,0.9615686087882462,443,2,1.0660861744587078,1.0660861744587078,554,2,1.0696311060724972,1.0696311060724972,pad_miss,corridor,ekf,flight_like
13,0.9819989584512546,0.9955275051700977,0.9097175279029741,1.1001858417897594,3.2393354341281757,26.07553330949183,-2.6601102905420033,-57.378749324770915,0.7495824094666109,True,46.79999999999936,0.0,-1.5062709724655468,0.0,-1.5062709724655468,0.07307045865116409,-0.8235264104547739,0.8267617798640768,4231.200328919309,2737.4922072713744,1.3303869853086892,0.5901083884372426,1.090779667262313,0.680985110058213,3,0.13548759662827356,0.09021881281819882,0.04800515380765284,0.05047931840772468,0.03102075957554589,5.353613735466899,11.354899260272706,1.0,0.9982935153583617,1.0,0.9982935153583617,1.0,1.0,1.0,1.0,3,233,1,3.9625628297753206,0.9906407074438301,468,1,0.9301370526481388,0.9301370526481388,584,1,0.9101633710291183,0.9101633710291183,success,corridor,ekf,flight_like
14,0.9766757047833045,0.964058311360241,1.1580821755691264,1.0000400798027893,8.526963182040863,24.367143907329115,-2.0572698101836115,-62.042102992710674,2.0521760672426232,True,45.83999999999938,0.0,-0.10703511545416741,0.0,-0.10703511545416741,-0.09795751499949114,-0.7514540445485042,0.7578118868249434,4155.798802855286,2592.6093766664017,2.0521760672426232,1.2626156098131913,1.584419301918327,0.7403253774037029,1,0.15852679690464125,0.0983921117462362,0.04693400540629406,0.046579356512545876,0.03128678644146248,7.102067496115559,11.912473167683556,1.0,0.9738675958188153,1.0,1.0,1.0,1.0,1.0,1.0,1,229,0,3.9905211361223167,0.9976302840305792,458,1,1.1640856070494912,1.1640856070494912,573,0,0.938671701002201,0.938671701002201,success,corridor,ekf,flight_like
15,0.9955420886803017,1.026500111783143,1.1157139023230958,0.925800256640975,-9.846469636466143,20.755954360845614,-4.4671171703490105,-53.052300112856834,1.4113128304651088,True,45.27999999999939,0.0,-0.11098573479241197,0.0,-0.11098573479241197,0.34753490557231886,-0.8001787468233883,0.8723912754372368,4122.706671376993,3062.794111105006,4.668122338913327,3.4360379869506485,3.908479674982158,0.6796797696801148,5,0.11543657636378138,0.07997086857643901,0.0512598108042216,0.04496242974663493,0.03462637026433253,4.843756092432676,9.392241857962029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,226,0,3.8765020161446166,0.9691255040361542,450,3,1.208235938935988,1.208235938935988,564,2,1.0691816835254127,1.0691816835254127,success,corridor,ekf,flight_like
16,1.0034916064443977,0.9564724319228719,0.8961069098265658,0.8928212888320699,15.045225961168118,23.62123541335271,-2.5817047603854,-57.53319016977977,1.7887712081450484,True,45.43999999999939,0.0,1.4662497192283368,0.0,1.4662497192283368,0.10362278928791115,-0.7361626335735175,0.7434198716268646,4089.0876975545216,2606.219325905582,1.7887712081450484,0.6569219560346147,0.8664758213724073,0.6448878361126715,3,0.12421492117638465,0.062038872951865394,0.04233372856015104,0.04389651213216821,0.03068667571081307,4.347659628904361,7.275198523786504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,227,0,3.8814274766051997,0.9703568691512999,453,2,0.9630008465914419,0.9630008465914419,567,1,0.8873624224796509,0.8873624224796509,success,corridor,ekf,flight_like
17,0.9873148798277946,1.0378573538072058,1.0865603364922924,1.1009143608602503,-6.374419505195693,28.11238266516395,-3.954702791256066,-58.301241191721424,0.7855320894854576,True,46.07999999999937,0.0,-0.3910787359925919,0.0,-0.3910787359925919,0.39769314903720293,-0.821533791993884,0.9127308541837387,4232.438771550445,3032.5627050999938,2.8892938010965254,0.5510353409741293,1.0675040060129408,0.6340908995996237,3,0.14559851033237925,0.08321130560899452,0.04293239822187572,0.04447093618413154,0.031681839396054436,5.291230684205756,9.272225925177727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,230,0,3.614846995940466,0.9037117489851165,459,2,0.9372445302673725,0.9372445302673725,575,1,0.9610900606365781,0.9610900606365781,success,corridor,ekf,flight_like
18,0.9806104811037019,1.0231744045638194,1.0107004675988993,1.0656490686683902,8.898889617677401,21.13958325437359,-2.224053472744157,-57.26564139347319,1.2348921895353446,True,45.999999999999375,0.0,1.2619980041781422,0.0,1.2619980041781422,0.03847237957822568,-0.8167949786145811,0.8177005326404068,4202.172432559313,2960.0483993874223,1.2348921895353444,0.5781140463408811,0.907230525732338,0.6563974549776969,2,0.14141919228866803,0.08972130420400885,0.053165875656694235,0.04707123615690603,0.032500090237732954,5.16332899956977,10.10038563389854,1.0,1.0,0.9878472222222222,1.0,1.0,1.0,1.0,1.0,2,230,0,3.7476514843959037,0.9369128710989759,460,1,0.9724349225549875,0.9724349225549875,574,1,0.8794943530462512,0.8794943530462512,success,corridor,ekf,flight_like
19,0.98357498801071,1.0016999528384078,0.8518999707984197,1.1361141850723302,10.210983175873107,9.808193455753264,-2.4604544907571766,-55.49744034593819,2.0092313831082125,True,46.399999999999366,0.0,0.4378102510597542,0.0,0.4378102510597542,0.1530977022027524,-0.7647547847222301,0.7799287064695768,4195.584239137712,2816.315430731145,2.7297871443288773,1.7521422489103533,2.592878795254481,0.648494856041619,4,0.12674893318486888,0.07462556256145599,0.044254093485127786,0.04907119202513744,0.03143686406848596,4.885290944996287,9.033537332921918,1.0,1.0,1.0,0.9982788296041308,1.0,1.0,1.0,1.0,4,232,0,3.7678031196367736,0.9419507799091934,462,3,1.070120381652459,1.070120381652459,579,1,0.9275991283320318,0.9275991283320318,success,corridor,ekf,flight_like
20,1.0083071059883086,1.0289885223378463,0.942216614150645,0.8672269334875959,0.217958373114147,1.4523567911800335,-2.6617172393675914,-56.7927624849297,1.098542471635108,True,45.67999999999938,0.0,0.8148118682817767,0.0,0.8148118682817767,0.1502030303121353,-0.7495692620589646,0.7644704238481492,4187.4033540191085,3015.5163023458153,3.508187096455024,2.383130331187552,4.36763821494867,0.6492921888287737,4,0.1303705816979399,0.09199010449606031,0.05048679145009847,0.04742764736474326,0.03338744366936981,5.099375483885071,11.103663826136618,1.0,1.0,1.0,0.9982517482517482,1.0,1.0,1.0,0.9982517482517482,4,228,0,3.8676929111325644,0.9669232277831411,455,2,1.0805946244176987,1.0805946244176987,569,2,0.9880374890729451,0.9880374890729451,success,corridor,ekf,flight_like
