time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,quaternion_norm,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,tilt_deg,desired_tilt_deg,body_z_inertial_x,body_z_inertial_y,body_z_inertial_z,mass_kg,propellant_remaining_kg,inertia_x_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,engine_arm_m,horizontal_error_m,target_x_m,target_y_m,desired_ax_mps2,desired_ay_mps2,desired_az_mps2,requested_force_body_x_n,requested_force_body_y_n,requested_force_body_z_n,achieved_force_body_x_n,achieved_force_body_y_n,achieved_force_body_z_n,requested_torque_x_nm,requested_torque_y_nm,requested_torque_z_nm,allocated_force_body_x_n,allocated_force_body_y_n,allocated_force_body_z_n,allocated_torque_x_nm,allocated_torque_y_nm,allocated_torque_z_nm,achieved_torque_x_nm,achieved_torque_y_nm,achieved_torque_z_nm,force_residual_n,torque_residual_nm,allocation_residual,actuator_tracking_residual,gimbal_saturated_fraction,throttle_saturated_fraction,total_thrust_n,aerodynamic_force_n,aerodynamic_moment_nm,acceleration_x_mps2,acceleration_y_mps2,acceleration_z_mps2,engine_1_throttle,engine_1_gimbal_x_deg,engine_1_gimbal_y_deg,engine_1_enabled,engine_2_throttle,engine_2_gimbal_x_deg,engine_2_gimbal_y_deg,engine_2_enabled,engine_3_throttle,engine_3_gimbal_x_deg,engine_3_gimbal_y_deg,engine_3_enabled,engine_4_throttle,engine_4_gimbal_x_deg,engine_4_gimbal_y_deg,engine_4_enabled
0.0,18.0,-12.0,720.0,-2.5,1.5,-58.0,0.9997967163092055,0.005082670073043831,0.008816463491179085,0.017405817813806623,0.6000000000000001,1.0,1.9999999999999996,1.0,0.1,-0.08,0.06,1.1661747059940264,1.71399058645997,0.017806278554479867,-0.0098563581836455,0.9997928728728745,25000.0,7000.0,1700000.0,1700000.0,290000.0,14.0,21.633307652783937,0.0,0.0,0.3825649850849183,-0.15837665672327877,4.030275572979273,3381.490827622484,-666.9499959215264,346060.8161520824,0.0,0.0,0.0,1807.8668523319366,54602.484633206564,-63906.60792482009,2276.600040804256,-545.2118506946363,346060.8161520824,-246.1608325979323,35788.27483436291,-63787.00728615852,0.0,0.0,0.0,346077.9793317682,84075.88386173527,0.0021726801414967884,0.45542169104795793,0.0,0.0,0.0,12513.54865204169,32685.863338014202,0.3766894964491144,-0.21142709085975225,-9.553774836524585,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1
0.05,17.87547176949279,-11.92526474808609,717.0880594111449,-2.4811111551487293,1.4894008463819601,-58.477590927723845,0.9997962269249893,0.005133062046546684,0.008792664430045545,0.017431160397477507,0.6057517693117739,0.9971570415640725,2.002939899541601,1.0,0.12801902618703226,-0.0324775936609436,0.05877137443816531,1.1667134711669676,1.5537479883794112,0.017760695899281313,-0.00995749944541584,0.9997926814524938,25000.0,7000.0,1700000.0,1700000.0,290000.0,14.0,21.48823934839424,0.0,0.0,0.3814797123290277,-0.15831923919559393,5.420358560035379,2766.59637368778,-262.96823390135023,380805.08819091896,0.0,0.0,0.0,-6115.8334242703695,38650.02296768127,-64015.0268501805,1927.270154847336,-288.2604665638073,380805.08819091885,-5663.250312752236,24370.610530448772,-63895.22330648097,0.0,0.0,0.0,380815.2286869323,75027.67060561752,0.0016406404404183045,0.5011131459313128,0.0,0.0,0.0,12615.594047480836,32865.84468556588,0.37885730826084013,-0.21253470896435112,-9.549859660352801,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1
0.1,17.751890673340306,-11.851060827412933,714.1522441763789,-2.462114982445158,1.4787469716332855,-58.95498570682469,0.9997954976435494,0.005195307162724481,0.008789808752744682,0.017455971392692414,0.6129033335026394,0.9966899631648922,2.0058439398562764,0.9999999999999999,0.15601938276541877,0.015026841687836757,0.05756790755585052,1.1700442242511337,1.4193491452380032,0.017757400698701534,-0.010081620120064144,0.9997914960911503,25000.0,7000.0,1700000.0,1700000.0,290000.0,14.0,21.344256023887734,0.0,0.0,0.3802032144532011,-0.15815227581226127,6.812726700939339,2132.247460331118,161.66611930715453,415606.4336981597,132.32547146147843,-54.883803560371604,62841.05619129293,-13284.010716645085,24569.006878919907,-64110.824641012594,1541.384644713312,-5.716336700697866,415606.43369815976,-10411.240351074754,14528.571148647112,-63990.84181261397,-68.74944694057194,8125.1226528677325,-3866.6241642957957,352771.11297467776,63831.090778281425,0.0011995733256867694,0.4642041434703283,0.0,0.0,62859.827497953025,12716.984362232683,33040.95162483667,0.43098347924925684,-0.2409660219603447,-7.032926337891654,0.07644889328134566,1.2200605224115373,-1.1146663818013642,1,0.09000000000000001,0.9839811520843407,0.8453135721003706,1,0.09000000000000001,-0.7766065944819681,0.8635685519241991,1,0.07439230407630183,-0.9681316500559368,-1.1446534138432622,1
0.15000000000000002,17.629324264200633,-11.777425112371892,711.1957049850388,-2.4405290010117744,1.4666730463725182,-59.306556919226836,0.9997946449510781,0.005269243937931772,0.008810905136842961,0.01747200463998788,0.6214342158126633,0.9989488406482157,2.0077691919516383,0.9999999999999999,0.18386237797125,0.07612019560752412,0.018585410231299327,1.176452353338017,1.3213187984695263,0.017802320055040628,-0.01022843539330341,0.9997892060379843,24998.863489623323,6998.863489623323,1699915.5735148755,1699915.5735148755,289989.44668935944,14.000243537937859,21.201434297939876,0.0,0.0,0.3772922568899094,-0.15708199724173666,7.911881324982206,1564.7988350197736,550.4694389840629,443057.85114387126,376.2510789189114,-102.14898946906999,121803.84361398523,-19355.793394766373,12235.232887571023,-63240.66711624648,1193.3728538700584,258.25715729068634,443057.8511438714,-14357.92839837665,5938.2040268384735,-63122.31277978439,-1145.4964303183442,12361.722012052021,-11808.143448463132,321256.86904810887,54561.299525112954,0.0009233243933875981,0.42273178111166,0.0,0.0,121893.61561520485,12786.166700848615,33148.870722304935,0.48427412441668927,-0.26766868116849574,-4.671992114776012,0.14815527375848858,1.8817315758794984,-1.7226374533832207,1,0.17305951543146872,1.5753434142542033,1.379511870379419,1,0.17345870398424462,-1.25393611479595,1.388089176095826,1,0.14687185216898152,-1.500408585973726,-1.7376218955467955,1
0.2,17.507903612982457,-11.704426492156664,708.2245381152733,-2.4162874404754624,1.453262674693719,-59.540098586079594,0.9997940653364812,0.005354121627853452,0.008860545936758512,0.017454255218969133,0.6312426374590828,1.0044772980991015,2.0058525864824617,1.0,0.20979379382541227,0.1441140796501055,-0.09725545698880958,1.1863393635204638,1.2472637153192416,0.017904346897156777,-0.010396729596915996,0.9997856482145935,24996.65964394777,6996.659643947769,1699751.8592646914,1699751.8592646914,289968.9824080864,14.000715790582621,21.059921377625866,0.0,0.0,0.37270210556735744,-0.15515349165975095,8.735589207415726,1048.1420052822914,905.5463770248439,463601.8159676068,581.3018975207713,-98.76877692970038,176241.54508904144,-24602.269365353746,1062.5487714230837,-60364.122257406336,875.9006044555476,502.52582630609913,463601.8159676067,-17718.839661470935,-1836.7219126601703,-60251.151348627565,-3059.2996213711012,12913.899865005507,-20442.935351390246,287362.40510549943,46885.55462099792,0.0008571348961268965,0.3781293751233976,0.0,0.0,176426.58789961314,12824.480806206748,33192.5013841629,0.5326113105462609,-0.2909789996864134,-2.4924879740979202,0.2159164909834161,2.2001321077433147,-2.018999350134449,1,0.24596449564036688,1.9077522475414326,1.7085988733870674,1,0.24905155503935356,-1.5380412675555621,1.6938228843934975,1,0.21762844728219571,-1.772476493227301,-2.00411848527252,1
0.25,17.38775544049372,-11.63212758726233,705.244418344794,-2.3896299889835833,1.4386831935903575,-59.66467691572788,0.9997943445439946,0.0054484488698987605,0.008940535069169845,0.01736806999736804,0.6421255074776392,1.0135083207816593,1.9961229047184812,1.0,0.23234512898646031,0.2127145786075742,-0.2951872591697693,1.199783845739535,1.1900576269902636,0.018066650881405487,-0.010584097055533268,0.9997807624751781,24993.4698380598,6993.469838059798,1699514.9022558709,1699514.9022558709,289939.36278198386,14.001399320415757,20.919857348097963,0.0,0.0,0.3665652531625696,-0.15246064138215112,9.304641373248584,573.1689506297464,1226.9747860690327,477758.6168918955,701.2041284188363,-35.89470757250115,225658.1433013783,-29136.814133891483,-9104.860501684494,-55230.939281914594,582.9385487688078,725.9344314983136,477758.6168918957,-20586.174237551226,-8899.714066962799,-55127.57507864219,-5196.679470135205,11531.84598480344,-28179.870479740308,252103.66918576925,41602.452159316344,0.0009808404047337012,0.3317341533932934,0.0,0.0,225931.77097051125,12834.014724400771,33176.46215570751,0.5741755212121279,-0.3104640233991989,-0.5139596638590138,0.27857883028568836,2.316783226918168,-2.1302161644106548,1,0.309187809688391,2.0739282184381587,1.9011518597818469,1,0.3165396623443642,-1.6953314958045924,1.8586477594609083,1,0.2848082817368789,-1.8898603519862842,-2.084776309899652,1
0.3,17.268992192526223,-11.56058209681175,702.2605426956388,-2.360888315747696,1.4231243879143547,-59.69033619087917,0.999796044467405,0.0055503603160191135,0.009050575573623447,0.017179931591223243,0.6538313869509456,1.0260360207380337,1.974737510383836,0.9999999999999999,0.251076577023928,0.27861451752240113,-0.5647888802752818,1.2166345793925422,1.1452391242191546,0.018288168938395778,-0.01078748004021744,0.999774561164297,24989.384974763958,6989.384974763958,1699211.4552681798,1699211.4552681798,289901.43190852244,14.002274648264866,20.781365445096625,0.0,0.0,0.3590685185407553,-0.14911095518873616,9.642167462076335,134.82426775460078,1514.0388704989414,486108.7145855645,732.9833211288819,77.6826658283062,269721.46741215966,-33055.39283732209,-18392.51481969272,-47976.452400162074,311.56065639893677,926.8446009618347,486108.71458556445,-23039.991931301134,-15340.038338241982,-47886.66490346784,-7321.506618926447,9062.576568048578,-34157.1740923891,216392.84103843183,40087.24729833971,0.0012004482913016332,0.28474775755535353,0.0,0.0,270057.00863360486,12817.367932340565,33106.44486365349,0.6089317711405822,-0.3263440319349683,1.2504966975795977,0.3353484229973509,2.3016202489235007,-2.1180430103404544,1,0.3631169211310013,2.120486553856604,1.9896748675683016,1,0.3757853396710243,-1.7569560578750747,1.9202582916946955,1,0.3471019932195965,-1.9020277067894367,-2.0470761330187965,1
0.35,17.15170966170725,-11.48983449251751,699.277589590877,-2.330397405454501,1.4067658349749632,-59.62777638389894,0.9997995782137685,0.0056579548109278515,0.009189213653496286,0.016862660032117456,0.6661055430534911,1.0419197273508742,1.9385794051215726,1.0000000000000002,0.26594307216123425,0.3399552800001389,-0.8874274832241682,1.236626217693838,1.1098024719595732,0.018565560206671092,-0.011003732495433653,0.9997670917995758,24984.50232387509,6984.502323875091,1698848.7440592926,1698848.7440592926,289856.0930074116,14.003320930598194,20.644549909962848,0.0,0.0,0.3504017999608764,-0.14520667425659248,9.772882312879219,-269.8502655724327,1766.161528842768,489273.3903503865,689.2148473748293,226.38633559807022,308250.53548431734,-36436.56033276439,-26895.94427296541,-38958.94998778893,60.292335951553014,1103.9239212522134,489273.39035038627,-25145.808692529157,-21227.925948173302,-38886.03866529162,-9375.206522702589,5955.156263736135,-37900.53913935879,181031.943859084,42575.01509136425,0.0014485128020467256,0.23822734328799913,0.0,0.0,308611.52692351065,12777.448484454582,32988.69615258863,0.6374732556115221,-0.33909833821060886,2.79375111714187,0.3857199344407844,2.1925871156356127,-2.0160466991389674,1,0.4081583535881041,2.0730025949447635,1.9917212499559764,1,0.42678795191797514,-1.7401269295092145,1.899504410935619,1,0.40360495438740307,-1.83590041234163,-1.9270897844901267,1
0.39999999999999997,17.03598760429639,-11.41992085444107,696.2996935275567,-2.2984642985912176,1.3897638570385717,-59.48805486386608,0.9998051370066056,0.0057694197793801165,0.009354307261111595,0.016398132402101046,0.6787077620604012,1.0609351558040871,1.885569298577974,1.0,0.2770012904287107,0.39564684891976953,-1.2402053586407358,1.2594343897252591,1.081587842851661,0.018894184324446277,-0.011229804727948229,0.999758421462148,24978.92260441559,6978.922604415591,1698434.2506137297,1698434.2506137297,289804.2813267162,14.004516584768087,20.509496970316906,0.0,0.0,0.34073983763523213,-0.14083711041750702,9.722387789145257,-642.7357862891853,1983.3697817251068,487896.7983346985,586.3616370584409,393.96322729426674,341200.59453684586,-39342.72439325165,-34687.62782938452,-28673.2552572523,-171.67845286166562,1256.5261430994842,487896.7983346983,-26954.42583202166,-26617.598984350974,-28619.59351940338,-11371.666357993963,2465.9797997567657,-39192.961446949965,146709.96251915704,47680.55018337669,0.0016953142779635654,0.19308185389525348,0.0,0.0,341549.188141447,12717.327094073684,32829.695760497605,0.6605344952177543,-0.3492425058750606,4.114056825843113,0.42943544736853834,2.0121831836299697,-1.844438705049756,1,0.4447619391786333,1.947047524129059,1.9183823511431803,1,0.4696808076309798,-1.6561456724631245,1.8096639843291198,1,0.4537491118294643,-1.7081873052169194,-1.7460527297869919,1
0.44999999999999996,16.92189131479782,-11.350870081162928,693.3304339368012,-2.2653609759817677,1.3722495831792696,-59.282317180888974,0.999812658423859,0.005883059718271148,0.00954327966868492,0.0157785765179449,0.6914180584726083,1.082801764164137,1.814814005684196,1.0000000000000002,0.28429461851020105,0.4450373458117194,-1.5985551600488646,1.284702952816326,1.0589503964796136,0.019268636247109224,-0.011462756416212999,0.999748630843033,24972.747369580888,6972.747369580888,1697975.5188831517,1697975.5188831517,289746.93986039393,14.005839849375525,20.376276825496593,0.0,0.0,0.3302378990962643,-0.13607738927870627,9.516541659205584,-985.2279981291309,2166.4654436004703,482629.7451662394,440.08376635946024,566.3393692644318,368646.429995709,-41822.8163050036,-41823.75086470477,-17692.08701812722,-384.9293113305357,1384.8067032427184,482629.74516623945,-28503.665858624532,-31551.25283536798,-17658.976437307138,-13343.273783754674,-1243.895110274927,-38017.43680352732,114003.45632630718,53581.0496273526,0.0019288669056681427,0.15007349198226025,0.0,0.0,368950.1379278514,12640.124452523827,32635.9381704895,0.6787979930053238,-0.3572264774562293,5.214396241654967,0.4664457795356654,1.7753371682956138,-1.6170163817739254,1,0.47343083517352613,1.7534841369870404,1.778115405609862,1,0.5047213864875204,-1.5139091531184703,1.6606566722221543,1,0.49724483000250597,-1.5308670677844272,-1.5180258694948052,1
