initial_x_m,guidance_mode,success,landing_x_error_m,touchdown_speed_mps,propellant_remaining_kg,max_abs_tilt_deg
0,corridor,True,0.2531580124069904,0.7813812532932072,2809.9726025387645,3.2551584178763733
0,predictive,True,0.9517084930524118,0.8163510057366307,2969.902380911295,1.626859798584122
10,corridor,True,-0.5211644884810863,0.7807096329449627,2810.2552802313076,2.5904638322567775
10,predictive,True,1.0098677977510828,0.7916614986863033,2970.07985817589,1.3286715197066925
20,corridor,True,-0.4945126702687499,0.7815924814876147,2810.541440758814,1.5540948267452666
20,predictive,True,0.6146343304925238,0.8246392056748887,2963.0996289046852,1.0450359056880762
30,corridor,True,-1.5351343651867786,0.7873989651082067,2810.5674940790086,1.4560528322482262
30,predictive,True,-0.561430785697439,0.8502924076900018,2963.164904871457,1.0
40,corridor,False,-4.065504043951433,0.8238338507376527,2894.5497985474212,3.5504068422170882
40,predictive,True,0.13588099354761232,0.9650487089682231,2959.404809085936,1.0
50,corridor,False,-5.999805353026374,0.8712907507314575,2852.064625323521,5.256215357777267
50,predictive,False,3.781643598322627,0.8510408314871474,2973.5813477753836,2.7753852229255096
60,corridor,False,-3.4281833490712157,1.2381946096736074,2851.134837674661,5.297834438837485
60,predictive,False,5.721173822068306,1.019186994105838,2981.0771355997967,4.6891148502120075
70,corridor,False,2.3801520459054384,1.447231876840331,2865.6089882470296,5.6336990743650786
70,predictive,False,4.460001927713684,1.763460053185027,2809.52840189209,5.68477263306252
