time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,quaternion_norm,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,tilt_deg,desired_tilt_deg,body_z_inertial_x,body_z_inertial_y,body_z_inertial_z,mass_kg,propellant_remaining_kg,inertia_x_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,engine_arm_m,horizontal_error_m,target_x_m,target_y_m,desired_ax_mps2,desired_ay_mps2,desired_az_mps2,requested_force_body_x_n,requested_force_body_y_n,requested_force_body_z_n,achieved_force_body_x_n,achieved_force_body_y_n,achieved_force_body_z_n,requested_torque_x_nm,requested_torque_y_nm,requested_torque_z_nm,allocated_force_body_x_n,allocated_force_body_y_n,allocated_force_body_z_n,allocated_torque_x_nm,allocated_torque_y_nm,allocated_torque_z_nm,achieved_torque_x_nm,achieved_torque_y_nm,achieved_torque_z_nm,force_residual_n,torque_residual_nm,allocation_residual,actuator_tracking_residual,gimbal_saturated_fraction,throttle_saturated_fraction,total_thrust_n,aerodynamic_force_n,aerodynamic_moment_nm,acceleration_x_mps2,acceleration_y_mps2,acceleration_z_mps2,engine_1_throttle,engine_1_gimbal_x_deg,engine_1_gimbal_y_deg,engine_1_enabled,engine_2_throttle,engine_2_gimbal_x_deg,engine_2_gimbal_y_deg,engine_2_enabled,engine_3_throttle,engine_3_gimbal_x_deg,engine_3_gimbal_y_deg,engine_3_enabled,engine_4_throttle,engine_4_gimbal_x_deg,engine_4_gimbal_y_deg,engine_4_enabled,nmpc_replanned,nmpc_terminal_handoff,nmpc_solution_accepted,nmpc_fallback,nmpc_iterations,nmpc_accepted_steps,nmpc_initial_objective,nmpc_final_objective,nmpc_objective_reduction,nmpc_horizon_s,nmpc_node_dt_s,nmpc_trust_region_mps2,nmpc_predicted_terminal_position_error_m,nmpc_predicted_terminal_speed_mps,nmpc_predicted_maximum_corridor_violation_m,nmpc_predicted_maximum_tilt_deg,nmpc_predicted_minimum_propellant_kg,nmpc_nonlinear_rollout_valid,nmpc_solve_time_ms,nmpc_active_engines,nmpc_engine_out_contingency
0.0,18.0,-12.0,720.0,-2.5,1.5,-58.0,0.9997967163092055,0.005082670073043831,0.008816463491179085,0.017405817813806623,0.6000000000000001,1.0,1.9999999999999996,1.0,0.1,-0.08,0.06,1.1661747059940264,0.9126070099856853,0.017806278554479867,-0.0098563581836455,0.9997928728728745,25000.0,7000.0,1700000.0,1700000.0,290000.0,14.0,21.633307652783937,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1209.0212853921587,5723.848638828218,300743.83546498866,0.0,0.0,0.0,-101760.81265434806,-16172.88372418082,-64494.86559389586,-849.93030109563,3753.4057785227337,300743.83546498837,-68188.14742793344,-10065.321231566108,-64374.16403632775,0.0,0.0,0.0,300800.7292974884,121558.26935261909,0.003916188053501879,0.3959249292847058,0.0,0.0,0.0,9381.178071305163,21348.570766094475,0.25226685386577613,-0.1299514894346982,-9.56112108511781,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.05,17.875316002884425,-11.925162739473718,717.0880502385505,-2.4873465575650817,1.493484454705144,-58.47795760819009,0.999796269327091,0.005130710447148762,0.008789207238870443,0.017431164219600753,0.605475344680064,0.9967656358076388,2.002935778971974,1.0,0.11696696398996273,-0.048131272024246094,0.05877137443816531,1.1662354568595448,0.9126070099856853,0.017753701728265604,-0.009952918098632017,0.9997928512928395,25000.0,7000.0,1700000.0,1700000.0,290000.0,14.0,21.488053159044174,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1191.909875000117,5752.3822443164645,300743.3593535626,0.0,0.0,0.0,-103424.889776421,-18123.711413782396,-64556.78114825294,-814.5062106244441,3759.700788642252,300743.3593535626,-69470.999469531,-11699.610615415295,-64435.96371628501,0.0,0.0,0.0,300800.72929748846,123258.89311890776,0.003965672857000601,0.3959287181974299,0.0,0.0,0.0,9478.848261404173,21476.466844244136,0.2538660990302501,-0.13066744979131334,-9.557179111300421,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.1,17.751266664966717,-11.850652143920316,714.1522075344723,-2.474613874072248,1.4869335471470009,-58.95571749916995,0.9997956676249342,0.005185904001105152,0.008775986415263488,0.017455986381253355,0.6117979772990132,0.995125098734935,2.00582734712039,1.0,0.13392674335848165,-0.016257828724494744,0.05756790755585052,1.1681323084268926,0.9126070099856853,0.017729436533466984,-0.01006330170735368,0.9997921769242608,25000.0,7000.0,1700000.0,1700000.0,290000.0,14.0,21.343510124788793,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1183.1676198708137,5785.365935572663,300742.7611785124,-48.75982477866904,162.28043358292396,55356.753855175666,-105159.98442505165,-20215.270689913825,-64617.821151684555,-784.6566739762975,3769.0008501806547,300742.7611785123,-70800.26459919632,-13427.032966417522,-64496.88948390218,-19072.64130182552,-2347.833287015048,-3806.99402452505,245453.0475706035,106902.91231417345,0.00401917336277049,0.3230920092051425,0.0,0.0,55377.87820765607,9576.511250389543,21601.113374020824,0.2925191796466646,-0.1472300945139231,-7.339299268036294,0.06015219544809232,1.320873766516805,-1.0962440002589189,1,0.05437891863365662,1.4323944878270582,1.4323944878270582,1,0.08693140280065138,-1.005063959101597,1.1604951156721273,1,0.09000000000000001,-0.9406270860536053,-0.7097135645660843,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.15000000000000002,17.627902077306004,-11.776489804158752,711.1952488485392,-2.4599604333854557,1.4795540937975042,-59.322603645862,0.999795097123109,0.005241192469816795,0.008775857380379282,0.0174722064241062,0.6181492836106341,0.9949893855585283,2.007741408515938,1.0,0.1188204247897028,0.011646141633634702,0.019168359027282842,1.1713556257598812,0.9126070099856853,0.017731268757391932,-0.010173569885405775,0.9997910284574671,24998.998763825377,6998.998763825377,1699925.6224555995,1699925.6224555995,289990.7028069499,14.000214550608847,21.199732162330363,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1182.321842204703,5818.335627732447,300730.07921104366,-147.15765625090876,620.6034701707783,100914.64781864626,-104657.63922608498,-22163.700397600005,-63739.23763269374,-763.0210552823428,3802.2687285107586,300730.0792110438,-70305.70380989049,-15017.411359352904,-63619.95022602005,-31272.617689574778,-4631.005271564034,-11833.768898776754,199885.70385848885,91580.20784418556,0.004026562470323499,0.2631223785360486,0.0,0.0,101028.47119547417,9649.283425080725,21685.659658331817,0.3213644232952351,-0.14830064248780309,-5.513870162747113,0.10913465343999056,2.206218941829469,-1.8284928523992865,1,0.09835202037202909,2.4346056214730067,2.828506107677263,1,0.15779578493130855,-1.673766017490861,1.9349944297662773,1,0.1664463370223253,-1.5633685026764381,-1.1808088193035413,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.2,17.505306094084997,-11.702697763941428,708.2222274160572,-2.4438721095176095,1.4721219586562029,-59.59823188523447,0.9997950721673858,0.005284951392165247,0.008787039185091576,0.017454824575286635,0.6231688087427201,0.9961935340477773,2.0057999801489688,1.0,0.08334938344129134,0.03566613890132924,-0.09693331330513186,1.1750326754371596,0.9126070099856853,0.01775497275127088,-0.010260984262038073,0.9997897144622843,24997.17216151952,6997.17216151952,1699789.9319985928,1699789.9319985928,289973.7414998241,14.000605965388674,21.056801191106143,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1188.6433792222115,5844.39129734985,300707.5669994997,-249.9178573193401,1145.840590982022,137970.62026601113,-102618.42447656124,-23957.673663714493,-60840.981419026306,-749.1042480070282,3846.150383920968,300707.56699949934,-68576.16662586364,-16463.399456912695,-60727.11807264013,-39381.21388056783,-6448.4645229184825,-20651.290932441174,162807.46732408827,76946.2697608251,0.004000435329121649,0.21431991358501998,0.0,0.0,138226.05090957822,9701.686054725642,21738.72111637582,0.34365969640741756,-0.1433242543504089,-4.0288631658187954,0.14902682299268494,2.800519174848437,-2.3176235519972104,1,0.13381141828261153,3.117187171630365,3.774625245833545,1,0.21555744244059316,-2.1186426799597085,2.452460387305645,1,0.2291098473871535,-1.9741327273346878,-1.4924129949705505,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.25,17.38354232497113,-11.629271044266009,705.2372806816036,-2.4266732492183,1.4649427955348497,-59.799618706971465,0.9997962576359988,0.005309533273030369,0.008808063461668776,0.017368652553653406,0.6259419479205423,0.9986070685454185,1.9959612989342554,1.0,0.034474836386486685,0.056565329040203366,-0.29689945153680253,1.1785498401754324,0.9126070099856853,0.0177969766492763,-0.01031093460446665,0.9997884537489556,24994.67302419384,6994.6730241938385,1699604.2817972566,1699604.2817972566,289950.53522465704,14.001141494815606,20.91476724195291,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1201.6341105680142,5859.052930223885,300677.15441452723,-341.66325984663854,1644.3737537769957,168122.73550358147,-99452.12443531823,-25631.69072036285,-55645.59982931003,-742.1147984901113,3892.461508809823,300677.15441452677,-65957.23227757786,-17794.407187724806,-55541.459592573934,-45009.65778667478,-8074.686368025876,-28635.754670830807,132624.19478829255,63259.48396961247,0.003948267304632885,0.1745881268223524,0.0,0.0,168527.54295952545,9737.607547200303,21767.218966217988,0.36141901259752124,-0.13644199018855682,-2.8202405600590446,0.18169830948747495,3.1757313365435835,-2.6191223087707356,1,0.16252279914790566,3.5577653995006604,4.39324737567395,1,0.2624354213776823,-2.4030964837105997,2.7885950233702377,1,0.2803305381949659,-2.2331361521471256,-1.6851226331243605,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.3,17.262660663753547,-11.55619455353355,702.2437752862915,-2.4085884531309745,1.4581155340870067,-59.940580284307735,0.9997992663934259,0.005309729526867146,0.008837733615324727,0.017179294399469264,0.6258341949766201,1.0021247326032476,1.9742768581559174,1.0,-0.023588382523011483,0.07463846664169624,-0.5708956800074076,1.181474705319151,0.9126070099856853,0.017854353983811574,-0.010313675316215071,0.9997874024737922,24991.62603362843,6991.626033628429,1699377.9339266834,1699377.9339266834,289922.2417408354,14.001794421365336,20.773663272302805,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1220.9223893329217,5859.3006613794605,300640.4031414573,-419.969497646382,2083.594307788638,192670.57229603338,-95401.98104589857,-27188.29355399566,-48269.42803335253,-741.711211584794,3936.040881160197,300640.4031414574,-62654.96151626896,-19013.46634508895,-48179.092235411124,-48933.014162136795,-9590.84544672232,-34851.93441567364,108038.79792367508,51469.060590929585,0.003874393979922108,0.1422234409832722,0.0,0.0,193195.6269343189,9760.206655172655,21776.550808318923,0.37579293037171274,-0.12927289515959972,-1.8359416231036407,0.20860902191544922,3.3584463813569005,-2.7493747876675383,1,0.18586102542127225,3.783282679322589,4.740490514572713,1,0.30028655225837303,-2.5524475266922604,2.976163197702059,1,0.32206248953289957,-2.3650752243234052,-1.771368284116791,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.35,17.14270120102677,-11.483450282801462,699.2444521212105,-2.389785472313082,1.451657812134373,-60.032330791388205,0.9998045431675716,0.005281932318531126,0.008874945629624272,0.016858588094421482,0.6223999334212011,1.0066429539131403,1.937514204999342,1.0,-0.08794973909162386,0.09003696994284816,-0.9001430888527574,1.1834998326660506,0.9126070099856853,0.01792451376432852,-0.010262561752081647,0.9997866730621073,24988.133042262092,6988.133042262092,1699118.454568041,1699118.454568041,289889.8068210051,14.002542919515266,20.633512421913476,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1246.112556198933,5843.052656042888,300598.57993876736,-486.1997920065837,2456.934924774461,212669.62782688253,-90635.52631377021,-28621.330095464553,-39069.83818577451,-747.6249044960473,3973.333427288956,300598.57993876736,-58811.28394687522,-20116.582372588673,-38996.71933701757,-51546.56386525149,-11022.091134159942,-38744.78891021149,87997.40837202725,42869.40464189295,0.0037818275676843047,0.11584323925958794,0.0,0.0,213259.76601711067,9772.061423728803,21771.004031925593,0.38753802704181767,-0.12234241725379451,-1.0336980926556336,0.2309215567842623,3.3622302536301705,-2.7156175035140078,1,0.20491329654035076,3.8062874078883047,4.8478024521818,1,0.3306525011249781,-2.578524899289335,3.0315265048887543,1,0.3559324666930965,-2.3820461430876474,-1.7555929613738999,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.39999999999999997,17.02369657685424,-11.411020007739113,696.2415441926606,-2.370394749378746,1.4455604043217798,-60.0839716746917,0.9998122901473202,0.005223725722322964,0.00891862124185244,0.01638765862145583,0.6153384965242932,1.0120499310476225,1.883506482342665,1.0,-0.15639555678504824,0.10286529398069373,-1.2608119691798017,1.1844184851815622,0.9126070099856853,0.018005103525285143,-0.01015317971450329,0.9997863417694446,24984.277289762384,6984.277289762384,1698832.0272394915,1698832.0272394915,289854.0034049364,14.003369152193775,20.494331478675296,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1276.718083081392,5808.909955050091,300552.71162796486,-541.8149948486871,2767.8632864174324,228974.5794498386,-85285.43006111066,-29923.729364863328,-28561.077441349986,-759.5201922501051,4001.735793412314,300552.71162796504,-54537.95252105975,-21099.244935009512,-28507.625643268977,-53076.22895926339,-12385.948651010302,-40044.65317668406,71646.47272196454,38430.1821444498,0.003673058637301391,0.09432810503352168,0.0,0.0,229563.2630767997,9775.277615151106,21754.01267239039,0.39722679221502283,-0.11573810102640346,-0.37929497653786015,0.2495719773472547,3.200469816522877,-2.5273365867741826,1,0.2205554749140375,3.6393269078518307,4.7399106997098635,1,0.3548121212134613,-2.489937939689381,2.9660250467464664,1,0.3832881269294556,-2.2931610753143246,-1.6421238405507816,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
0.44999999999999996,16.905673617852845,-11.33888608575609,693.2368721958204,-2.35051851722394,1.439809041553641,-60.10289408384975,0.9998224323140897,0.005133668511665371,0.008967678225769358,0.015758490929933176,0.6044710243988884,1.0182210239233649,1.8113325277696302,0.9999999999999999,-0.22709894765383268,0.11319798142124475,-1.626911012036671,1.1841118218102842,0.9126070099856853,0.01809396944915437,-0.009982879724088359,0.9997864523897028,24980.126768817994,6980.126768817994,1698523.7028264794,1698523.7028264794,289815.46285330993,14.004258549539001,20.35613269113558,0.0,0.0,0.15793298841335593,0.10854631638324665,2.223852934699446,-1312.1298553820313,5756.022340894444,300503.62781909795,-587.3645497285916,3022.8797647807583,242274.76247948315,-79467.23152588453,-31089.417179428834,-17349.32838294901,-776.946903395447,4019.2924773104746,300503.62781909783,-49931.343071198644,-21958.071656091357,-17316.859271814315,-53675.10471522843,-13706.418495007762,-38727.90625844058,58297.479463769596,37741.83409239683,0.0035503902048407373,0.07677409038860439,0.0,0.0,242799.74217468407,9771.573819049589,21728.333455208478,0.4053290096934288,-0.10939949546516368,0.15485578012523504,0.2653190672771608,2.8915133798502555,-2.2004931369694023,1,0.23350148689084807,3.3009873518990216,4.443176701867377,1,0.3738277803423694,-2.2967317499190525,2.791309704537542,1,0.4052450453563803,-2.1088120326592565,-1.4383856693783041,1,0.0,0.0,1.0,0.0,3.0,3.0,7317.490297197714,1.2042119271052771,7316.286085270609,25.263157894736842,4.2105263157894735,4.0,0.0054156254065951615,0.00794919496953406,0.07724196816046991,2.29714779086848,4390.509148455498,1.0,226.8752499949187,4.0,0.0
