case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,failure_mode,guidance_mode,navigation_mode,actuator_mode
0,1.021747048921407,0.9815693723646981,0.8599579726592079,0.9670791396028174,-3.7283639251913243,21.711472265787435,-1.0013969048126927,-57.4985453560074,0.6294058600313623,False,22.879999999999864,0.0,3.262322794172288,0.0,3.262322794172288,-0.21584557239565072,-2.4950854877230775,2.5044043008606085,2375.7875996064868,4495.198006946401,0.6294058600313623,0.9346694659549984,0.9346694659549984,0.0,0,pad_miss,baseline,truth,ideal
1,1.0044274954929107,1.00719209587308,0.8919650454777588,0.8880330745260027,-9.453676896133793,15.452348469176286,-1.7662076855345763,-57.741115679387576,2.047060593257826,True,23.11999999999986,0.0,1.908615576410338,0.0,1.908615576410338,-0.13856181553660657,-2.284776842038063,2.28897457273737,2416.489365687932,4633.855305423629,2.047060593257826,0.4444259410783769,0.4444259410783769,0.0,0,success,baseline,truth,ideal
2,1.0101013398003098,0.9633707345339922,1.005949241827155,1.123799373822537,-3.233323334683366,15.961074597566679,-1.728795532209996,-59.063478208349814,1.552205241539665,True,22.879999999999864,0.0,2.1589930039833636,0.0,2.1589930039833636,-0.17150018539098932,-2.4850521408390653,2.4909629576286285,2371.280982944245,4372.3141587937025,1.5522052415396652,0.3555990945339125,0.3555990945339125,0.0,0,success,baseline,truth,ideal
3,0.9936716677562735,0.9720821924047524,0.9574644735103708,0.9003265410908231,5.242382659854908,9.41532869785138,-2.3568664402854704,-56.71133815624142,-0.02637510328067364,False,23.03999999999986,0.0,0.8071641742842259,0.0,0.8071641742842259,-0.189598125474676,-2.5249854189032583,2.532093761071571,2375.25791164568,4429.317435187586,2.2020088083796034,2.09453596773556,2.09453596773556,0.0,0,vertical_speed,baseline,truth,ideal
4,0.9986939999118145,0.9567046241280568,1.0639449943462516,1.123233731720547,1.3778000540093096,32.492909137068914,-3.9073025034289772,-58.58559165922606,-0.27469754922308565,False,22.959999999999862,0.0,3.980945304850232,0.0,3.980945304850232,-0.47792965437507057,-2.4336272679358903,2.480112584898553,2368.991945210164,4327.940423686236,2.492782149907524,1.5844693380914268,1.5844693380914268,0.0,0,pad_miss,baseline,truth,ideal
5,1.0099549507844119,0.9866424140870823,0.9300879360964406,0.917221234227611,5.85917459652002,4.186085132664852,-1.0679695003166303,-57.70391138371572,1.5109997910405326,True,22.959999999999862,0.0,0.8388111974345728,0.0,0.8388111974345728,-0.05988419504402598,-2.4984356697993406,2.4991532391875753,2386.8198494514327,4519.677049158145,1.5109997910405326,0.08093604615202753,0.08093604615202753,0.0,0,success,baseline,truth,ideal
6,1.0128465944004987,0.9928738911321268,0.8795240608487201,0.9428708163448996,11.189465775597789,14.38895678711847,-2.638977907730319,-57.52116052808496,1.0081105308167189,False,22.879999999999864,0.0,2.1364080484914854,0.0,2.1364080484914854,-0.24476411232794526,-2.7243466446297235,2.7353197456218754,2381.349310090063,4568.767927834826,2.031167413506617,1.1632075333452612,1.1632075333452612,0.0,0,vertical_speed,baseline,truth,ideal
7,1.0033050995003159,0.9996992877613604,1.0520740175377399,1.087976292406594,-5.920294832528587,21.751409480140005,-3.9768900146095776,-57.52862963096395,1.7055160528138562,True,23.03999999999986,0.0,2.0555688242703702,0.0,2.0555688242703702,-0.288109540715181,-2.4333808938475268,2.450377457044792,2396.9670801448556,4600.927934184667,3.237006352317979,1.6388543642847757,1.6388543642847757,0.0,0,success,baseline,truth,ideal
8,0.9846563702057628,1.0202694431133803,1.140669602884437,1.0908796753748982,17.53061580838028,10.195021405724749,-2.5425435585724387,-56.062634465871035,1.5097453360783495,True,23.359999999999854,0.0,2.2004222388529753,0.0,2.2004222388529753,-0.13293929581413447,-2.2671153138247746,2.271009621853321,2421.816280955627,4720.0698208380345,2.28299090032367,1.735047128706503,1.735047128706503,0.0,0,success,baseline,truth,ideal
9,1.027369078671394,0.9622609419122248,0.9808954531735281,0.9389898190867925,3.0281709543068835,12.46119788535345,-5.113395289844556,-53.222743028344844,1.240349912444548,False,22.719999999999867,0.0,0.3246117676506589,0.0,0.3246117676506589,-0.37758920510857535,-2.865381322980143,2.890152891093819,2312.8820634767217,4422.944529908851,5.143621716888094,3.729582570662838,3.729582570662838,0.0,0,vertical_speed,baseline,truth,ideal
10,1.021387702308113,0.9449537863698603,1.012808781825978,0.9122881961388689,-3.676978976773018,20.506056747437306,-3.6349943474694735,-57.30457898643813,1.7286457895684864,True,22.799999999999866,0.0,2.2033977192874206,0.0,2.2033977192874206,-0.3082354408184681,-2.434198175031663,2.4536360451998647,2342.7140992308923,4271.962405358128,2.7896928993813295,1.4487493488046066,1.4487493488046066,0.0,0,success,baseline,truth,ideal
11,1.0235608614642704,1.0016520039856014,1.1660756569388493,1.14706719951194,-6.106903625889334,21.514604973071442,-2.6269637898335523,-59.61811251479646,0.10325312173295655,True,22.879999999999864,0.0,2.2056828332550347,0.0,2.2056828332550347,-0.2830067629333672,-2.4413194435391308,2.4576682960212985,2398.4874932127386,4613.076534686472,1.7045838026132343,0.8015641385279729,0.8015641385279729,0.0,0,success,baseline,truth,ideal
12,1.0046987465618809,0.9538025743396483,0.8751523904788013,0.8729338919528896,-2.0581477109095054,28.69262466426276,-1.1137173318617215,-56.86366419954252,0.5808994269877009,False,22.879999999999864,0.0,4.514793020812893,0.0,4.514793020812893,-0.2944679777496197,-2.6122244799269123,2.628769317275553,2352.313711839761,4324.304308537776,0.8807166912557152,1.442697048308288,1.442697048308288,0.0,0,vertical_speed,baseline,truth,ideal
